,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율,일일변동평균,샤프지수,종목명,PER,PBR,시가총액
230,222420,(주)쎄노텍,-0.2985084744402741,-0.0,3.8599658051124233,109.69,189.05,0.3759709412909108,23.49396646667373,쎄노텍,0.0,2.59,90356.0
231,260930,(주)씨티케이,0.6919094427780913,-0.4783173336086718,1.1179095498133786,420.49,12.97,0.2289559038021151,23.45050811882348,씨티케이코스메틱스,23.88,1.12,101019.0
232,090430,(주)아모레퍼시픽,0.0602619859047745,-2.6673072114099763,5.00887145669612,404.39,10.85,0.2043675896414987,25.36147249131568,아모레퍼시픽,74.35,3.97,15111520.0
233,002790,(주)아모레퍼시픽그룹,0.0668045086087369,-1.4897582174316617,102.132615129156,1964.79,2.87,0.0924367603926018,11.469527601530876,아모레G,44.94,1.85,5351536.0
234,149950,(주)아바텍,0.1097773322076825,-12.266546194707322,3.5037524230730392,408.93,7.69,0.4421231409655169,58.14788856041052,아바텍,34.07,1.95,265328.0
235,127710,(주)아시아경제,0.3899885936846106,-1.388344199469567,1.4712131172672982,190.0,35.3,0.326297028179943,34.90063278918494,아시아경제,15.45,0.56,57522.0
236,227610,(주)아우딘퓨쳐스,-0.0387128712871287,-0.0,0.521763450945531,132.43,148.75,0.0255582354775561,-2.486100272724179,아우딘퓨쳐스,0.0,1.18,40400.0
237,122900,(주)아이마켓코리아,0.5163423482849604,-1.4043116230200432,0.1567443891357204,150.58,110.68,0.0175594717945132,-0.2351261658431795,아이마켓코리아,18.78,0.89,303200.0
238,003560,(주)아이에이치큐,0.2327517652704462,-0.0,3.670526543845451,592.95,22.61,0.2391256473800491,23.8519489265152,IHQ,0.0,2.14,291740.0
239,001780,(주)알루코,0.0252708997559744,-0.0,1.4658360375073078,142.31,97.1,0.5810561121217185,39.0707945919775,알루코,0.0,1.67,382337.0
240,148250,(주)알엔투테크놀로지,0.0513500364874726,-9.631095759612077,4.986788931561742,174.75,54.13,0.3691472664340799,21.583516414635763,알엔투테크놀로지,125.19,3.76,123330.0
241,238090,(주)앤디포스,0.2941478917251375,-0.0,3.332023529196348,447.7,20.95,0.1651965313561453,1.5061976788669549,앤디포스,0.0,1.87,225611.0
