,종목코드,시장구분
380,021880,KOSDAQ
381,140410,KOSDAQ
382,241770,KOSDAQ
383,059210,KOSDAQ
384,058110,KOSDAQ
385,096640,KOSDAQ
386,257370,KOSDAQ
387,080420,KOSDAQ
388,080160,KOSDAQ
389,100030,KOSDAQ
390,087260,KOSDAQ
391,101330,KOSDAQ
392,012860,KOSDAQ
393,348030,KOSDAQ
394,250060,KOSDAQ
395,033200,KOSDAQ
396,118990,KOSDAQ
397,006920,KOSDAQ
398,001810,KOSDAQ
399,279600,KOSDAQ
400,095500,KOSDAQ
401,218150,KOSDAQ
402,353490,KOSDAQ
403,328380,KOSDAQ
404,100790,KOSDAQ
405,049950,KOSDAQ
406,207760,KOSDAQ
407,059090,KOSDAQ
408,214610,KOSDAQ
409,201490,KOSDAQ
410,950190,KOSDAQ
411,214180,KOSDAQ
412,206640,KOSDAQ
413,018700,KOSDAQ
414,035620,KOSDAQ
415,064520,KOSDAQ
416,053030,KOSDAQ
417,301300,KOSDAQ
418,064550,KOSDAQ
419,314930,KOSDAQ
420,208710,KOSDAQ
421,142760,KOSDAQ
422,086820,KOSDAQ
423,038460,KOSDAQ
424,086040,KOSDAQ
425,099430,KOSDAQ
426,032980,KOSDAQ
427,308080,KOSDAQ
428,043150,KOSDAQ
429,323990,KOSDAQ
430,267790,KOSDAQ
431,046310,KOSDAQ
432,066410,KOSDAQ
433,206400,KOSDAQ
434,019010,KOSDAQ
435,177350,KOSDAQ
436,299910,KOSDAQ
437,225530,KOSDAQ
438,250000,KOSDAQ
439,006910,KOSDAQ
440,226340,KOSDAQ
441,014470,KOSDAQ
442,008470,KOSDAQ
443,338220,KOSDAQ
444,100120,KOSDAQ
445,337930,KOSDAQ
446,099390,KOSDAQ
447,064480,KOSDAQ
448,288330,KOSDAQ
449,251630,KOSDAQ
450,018290,KOSDAQ
451,044480,KOSDAQ
452,033560,KOSDAQ
453,126340,KOSDAQ
454,121800,KOSDAQ
455,148140,KOSDAQ
456,082800,KOSDAQ
457,318410,KOSDAQ
458,200780,KOSDAQ
459,141000,KOSDAQ
460,090460,KOSDAQ
461,083650,KOSDAQ
462,086670,KOSDAQ
463,335890,KOSDAQ
464,138580,KOSDAQ
465,082920,KOSDAQ
466,054220,KOSDAQ
467,042370,KOSDAQ
468,032850,KOSDAQ
469,238200,KOSDAQ
470,093190,KOSDAQ
471,065450,KOSDAQ
472,072950,KOSDAQ
473,143240,KOSDAQ
474,100090,KOSDAQ
475,122350,KOSDAQ
476,014970,KOSDAQ
477,018310,KOSDAQ
478,053700,KOSDAQ
479,009620,KOSDAQ
480,023600,KOSDAQ
481,380320,KOSDAQ
482,377630,KOSDAQ
483,009300,KOSDAQ
484,225190,KOSDAQ
485,361670,KOSDAQ
486,054540,KOSDAQ
