,종목코드,종목명,PER,PBR,시가총액
410,068290,삼성출판사,94.46,5.07,460000.0
411,029780,삼성카드,10.68,0.58,3991339.0
412,000810,삼성화재,12.56,0.67,9001219.0
413,000815,삼성화재우,0.0,0.0,470820.0
414,006110,삼아알미늄,20.64,0.94,102190.0
415,145990,삼양사,17.04,0.55,593023.0
416,145995,삼양사우,0.0,0.0,15339.0
417,003230,삼양식품,11.26,2.36,670438.0
418,002170,삼양통상,4.63,0.64,210000.0
419,272550,삼양패키징,12.51,1.24,355245.0
420,000070,삼양홀딩스,23.5,0.59,802472.0
421,000075,삼양홀딩스우,0.0,0.0,18396.0
422,002810,삼영무역,7.55,0.77,277004.0
423,005680,삼영전자,25.7,0.45,220000.0
424,003720,삼영화학,0.0,2.14,93330.0
425,023000,삼원강재,13.79,0.69,144000.0
426,004380,삼익THK,81.96,1.44,271950.0
427,002450,삼익악기,9.88,0.65,145755.0
428,004440,삼일씨엔에스,80.33,0.77,215807.0
429,000520,삼일제약,155.43,2.09,134233.0
430,009770,삼정펄프,15.87,0.4,74124.0
431,005500,삼진제약,26.5,1.71,337770.0
432,004690,삼천리,7.39,0.25,317914.0
433,010960,삼호개발,5.71,0.68,129500.0
434,004450,삼화왕관,8.42,0.57,82513.0
435,009470,삼화전기,51.74,3.57,157409.0
436,011230,삼화전자,0.0,3.42,40525.0
437,001820,삼화콘덴서,23.64,4.65,709979.0
438,000390,삼화페인트,76.35,1.2,344813.0
439,001290,상상인증권,0.0,0.76,115330.0
440,041650,상신브레이크,19.93,0.53,89858.0
441,075180,새론오토모티브,0.0,0.53,113664.0
442,007540,샘표,9.87,0.96,154430.0
443,248170,샘표식품,8.12,1.39,217907.0
444,007860,서연,0.0,1.3,547080.0
445,200880,서연이화,0.0,0.43,263798.0
446,017390,서울가스,11.82,0.46,444000.0
447,004410,서울식품,0.0,5.49,146576.0
448,004415,서울식품우,0.0,0.0,11189.0
449,021050,서원,37.31,1.16,118686.0
450,008490,서흥,17.91,2.0,591182.0
451,007610,선도전기,0.0,0.72,62100.0
452,136490,선진,18.8,1.26,401875.0
453,002820,선창산업,0.0,0.27,58942.0
454,014910,성문전자,0.0,1.57,41604.0
455,014915,성문전자우,0.0,0.0,4896.0
456,003080,성보화학,0.0,0.76,111111.0
457,004980,성신양회,15.29,0.68,262322.0
458,004985,성신양회우,0.0,0.0,10961.0
459,011300,성안,0.0,0.7,44747.0
460,000180,성창기업지주,0.0,0.32,166009.0
461,002420,세기상사,0.0,1.12,25108.0
462,004360,세방,55.0,0.37,254875.0
463,004365,세방우,0.0,0.0,26231.0
464,004490,세방전지,13.66,1.03,1090600.0
465,001430,세아베스틸,38.41,0.36,665242.0
466,306200,세아제강,10.82,0.47,269165.0
467,003030,세아제강지주,0.0,0.24,228205.0
468,019440,세아특수강,10.62,0.37,118695.0
469,058650,세아홀딩스,10.95,0.17,337600.0
470,013000,세우글로벌,823.33,1.78,70901.0
471,091090,세원셀론텍,0.0,0.64,132203.0
472,021820,세원정공,10.64,0.19,80900.0
473,067830,세이브존I&C,6.16,0.33,149184.0
474,033530,세종공업,35.18,0.55,251501.0
475,075580,세진중공업,154.29,2.34,368384.0
476,027970,세하,6.01,1.78,111672.0
477,145210,세화아이엠씨,0.0,1.12,104021.0
478,308170,센트랄모텍,37.08,2.49,249690.0
480,068270,셀트리온,147.77,15.89,43816499.0
481,336370,솔루스첨단소재,417.26,13.28,1442307.0
482,33637K,솔루스첨단소재1우,0.0,0.0,109391.0
483,33637L,솔루스첨단소재2우B,0.0,0.0,39423.0
484,248070,솔루엠,22.35,15.29,1242033.0
485,004430,송원산업,14.05,1.13,488400.0
487,053210,스카이라이프,7.53,0.59,413182.0
488,134790,시디즈,13.36,3.88,124400.0
489,016590,신대양제지,5.88,0.78,328024.0
490,029530,신도리코,20.37,0.35,302401.0
491,004970,신라교역,16.05,0.32,165600.0
492,011930,신성이엔지,219.33,4.67,664846.0
493,005390,신성통상,33.14,1.02,242867.0
494,004170,신세계,5.34,0.7,2766496.0
495,035510,신세계 I&C,23.65,1.33,264880.0
496,034300,신세계건설,10.69,0.95,187200.0
497,031430,신세계인터내셔날,19.54,2.42,1445850.0
498,031440,신세계푸드,66.28,0.92,288500.0
499,006880,신송홀딩스,0.0,0.67,60209.0
500,005800,신영와코루,23.05,0.28,87930.0
501,001720,신영증권,24.57,0.82,535954.0
502,001725,신영증권우,0.0,0.0,394305.0
503,009270,신원,78.42,0.63,126713.0
504,009275,신원우,0.0,0.0,3131.0
505,002700,신일전자,36.15,2.25,156660.0
507,019175,신풍제약우,0.0,0.0,187000.0
508,002870,신풍제지,5.66,2.02,140184.0
509,055550,신한지주,5.35,0.47,19346653.0
510,001770,신화실업,29.7,0.84,28610.0
511,004080,신흥,56.07,1.31,115200.0
512,102280,쌍방울,0.0,0.57,146727.0
513,003410,쌍용양회,29.65,2.15,3869642.0
515,004770,써니전자,172.5,2.16,120215.0
517,004920,씨아이테크,0.0,0.59,24820.0
518,112610,씨에스윈드,77.51,8.1,3196592.0
519,008700,아남전자,259.58,4.16,240244.0
520,002790,아모레G,44.94,1.85,5351536.0
521,00279K,아모레G3우(전환),0.0,0.0,287234.0
522,002795,아모레G우,0.0,0.0,141119.0
