,종목코드,시장구분
369,009580,KOSPI
370,009200,KOSPI
371,033920,KOSPI
372,008420,KOSPI
373,025560,KOSPI
374,007120,KOSPI
375,357250,KOSPI
376,085620,KOSPI
377,006800,KOSPI
378,00680K,KOSPI
379,006805,KOSPI
380,002840,KOSPI
381,268280,KOSPI
382,107590,KOSPI
383,134380,KOSPI
384,003650,KOSPI
385,155900,KOSPI
386,003610,KOSPI
387,001340,KOSPI
388,035150,KOSPI
389,002410,KOSPI
390,096300,KOSPI
391,007210,KOSPI
392,002760,KOSPI
393,003850,KOSPI
394,000890,KOSPI
395,003000,KOSPI
396,001270,KOSPI
397,001275,KOSPI
398,026940,KOSPI
399,015350,KOSPI
400,011390,KOSPI
401,005030,KOSPI
402,002070,KOSPI
403,100220,KOSPI
404,030790,KOSPI
405,005180,KOSPI
406,003960,KOSPI
407,008040,KOSPI
408,007160,KOSPI
409,014710,KOSPI
410,006090,KOSPI
411,001470,KOSPI
412,006400,KOSPI
413,006405,KOSPI
414,006660,KOSPI
415,028260,KOSPI
416,02826K,KOSPI
417,207940,KOSPI
418,032830,KOSPI
419,018260,KOSPI
420,028050,KOSPI
421,009150,KOSPI
422,009155,KOSPI
423,005930,KOSPI
424,005935,KOSPI
425,001360,KOSPI
426,010140,KOSPI
427,010145,KOSPI
428,016360,KOSPI
429,068290,KOSPI
430,029780,KOSPI
431,000810,KOSPI
432,000815,KOSPI
433,006110,KOSPI
434,145990,KOSPI
435,145995,KOSPI
436,003230,KOSPI
437,002170,KOSPI
438,272550,KOSPI
439,000070,KOSPI
440,000075,KOSPI
441,002810,KOSPI
442,005680,KOSPI
443,003720,KOSPI
444,023000,KOSPI
445,004380,KOSPI
446,002450,KOSPI
447,004440,KOSPI
448,000520,KOSPI
449,009770,KOSPI
450,005500,KOSPI
451,004690,KOSPI
452,010960,KOSPI
453,004450,KOSPI
454,009470,KOSPI
455,011230,KOSPI
456,001820,KOSPI
457,000390,KOSPI
458,001290,KOSPI
459,041650,KOSPI
460,075180,KOSPI
461,007540,KOSPI
462,248170,KOSPI
463,007860,KOSPI
464,200880,KOSPI
465,017390,KOSPI
466,004410,KOSPI
467,004415,KOSPI
468,021050,KOSPI
469,008490,KOSPI
470,007610,KOSPI
471,136490,KOSPI
472,014910,KOSPI
473,014915,KOSPI
474,003080,KOSPI
475,004980,KOSPI
476,004985,KOSPI
477,011300,KOSPI
478,000180,KOSPI
479,002420,KOSPI
480,004360,KOSPI
481,004365,KOSPI
482,004490,KOSPI
483,001430,KOSPI
484,306200,KOSPI
485,003030,KOSPI
486,019440,KOSPI
487,058650,KOSPI
488,013000,KOSPI
489,091090,KOSPI
490,021820,KOSPI
491,067830,KOSPI
492,033530,KOSPI
493,075580,KOSPI
494,027970,KOSPI
495,308170,KOSPI
496,012600,KOSPI
497,068270,KOSPI
498,336370,KOSPI
499,33637K,KOSPI
500,33637L,KOSPI
501,248070,KOSPI
502,004430,KOSPI
503,017550,KOSPI
504,053210,KOSPI
505,134790,KOSPI
506,016590,KOSPI
507,029530,KOSPI
508,004970,KOSPI
509,011930,KOSPI
510,005390,KOSPI
511,004170,KOSPI
512,035510,KOSPI
513,034300,KOSPI
514,031430,KOSPI
515,031440,KOSPI
516,006880,KOSPI
517,005800,KOSPI
518,001720,KOSPI
519,001725,KOSPI
520,009270,KOSPI
521,009275,KOSPI
522,002700,KOSPI
523,019170,KOSPI
524,019175,KOSPI
525,002870,KOSPI
526,293940,KOSPI
527,055550,KOSPI
528,004080,KOSPI
529,102280,KOSPI
530,003410,KOSPI
531,003620,KOSPI
532,004770,KOSPI
533,015540,KOSPI
534,004920,KOSPI
535,112610,KOSPI
536,008700,KOSPI
537,002790,KOSPI
538,00279K,KOSPI
539,002795,KOSPI
540,090430,KOSPI
541,090435,KOSPI
542,002030,KOSPI
543,183190,KOSPI
544,002310,KOSPI
545,012170,KOSPI
546,267850,KOSPI
547,020560,KOSPI
548,122900,KOSPI
549,010780,KOSPI
550,139990,KOSPI
551,001780,KOSPI
552,018250,KOSPI
553,161000,KOSPI
554,011090,KOSPI
555,137310,KOSPI
556,005850,KOSPI
557,012750,KOSPI
558,023960,KOSPI
559,298690,KOSPI
560,140910,KOSPI
561,078520,KOSPI
562,015260,KOSPI
563,007460,KOSPI
564,003060,KOSPI
565,244920,KOSPI
566,036570,KOSPI
567,138250,KOSPI
568,380440,KOSPI
569,085310,KOSPI
570,009810,KOSPI
571,900140,KOSPI
572,097520,KOSPI
573,014440,KOSPI
574,111770,KOSPI
575,009970,KOSPI
576,003520,KOSPI
577,000670,KOSPI
578,006740,KOSPI
579,012280,KOSPI
580,012160,KOSPI
581,015360,KOSPI
582,007310,KOSPI
583,002630,KOSPI
584,271560,KOSPI
585,001800,KOSPI
586,011690,KOSPI
587,070960,KOSPI
588,316140,KOSPI
589,118000,KOSPI
590,010050,KOSPI
591,006980,KOSPI
592,017370,KOSPI
593,105840,KOSPI
594,010400,KOSPI
595,049800,KOSPI
596,016880,KOSPI
597,095720,KOSPI
598,005820,KOSPI
599,010600,KOSPI
600,008600,KOSPI
601,033270,KOSPI
602,014830,KOSPI
603,000910,KOSPI
604,047400,KOSPI
605,011330,KOSPI
606,077500,KOSPI
607,002920,KOSPI
608,000700,KOSPI
609,003470,KOSPI
610,003475,KOSPI
611,072130,KOSPI
612,000220,KOSPI
613,000225,KOSPI
614,000227,KOSPI
615,001200,KOSPI
616,000100,KOSPI
617,000105,KOSPI
