,종목코드,수익률
226,084870,50.390625
227,002710,217.6056338028169
228,089230,110.83172147001935
229,161570,13.084112149532709
230,032540,43.646408839779006
231,048770,80.5439330543933
232,246690,210.15873015873018
233,317240,-26.065162907268167
234,038340,-85.828025477707
235,073570,-80.94936708860759
236,024070,88.5204081632653
237,052300,42.05607476635514
238,057030,8.74811463046757
239,037270,477.6850886339937
240,040300,169.62457337883959
241,051390,51.446945337620576
242,052220,170.17543859649123
243,079940,62.65690376569037
244,078890,132.67326732673268
245,000500,116.18705035971225
246,192410,1005.3921568627452
247,000860,112.98245614035088
248,217730,-20.070011668611436
249,114190,-3.6608863198458574
250,035250,37.12737127371274
251,094480,225.63600782778863
252,011420,75.49019607843137
253,063080,154.00516795865633
254,044480,-47.735849056603776
255,039240,121.82539682539681
256,053950,4.154302670623145
257,223310,1395.4954954954956
258,002100,39.91769547325103
259,009450,67.43421052631578
260,267290,28.431372549019606
261,012320,77.68052516411379
262,011040,36.60220994475138
263,000050,65.0
264,214390,82.98192771084338
265,012610,32.27722772277228
266,009140,83.85093167701864
267,024910,302.11267605633805
268,013580,153.6
269,012200,98.39449541284404
270,012205,22.359154929577464
271,002140,115.18987341772151
272,198440,80.18433179723502
273,049720,44.04255319148936
274,010130,18.234442836468887
275,002240,58.08823529411765
276,014570,33.72781065088758
278,098460,50.523560209424076
279,038530,-44.66230936819172
280,900280,76.8
281,215000,142.20430107526883
282,121440,227.0642201834862
283,183410,-32.096069868995635
284,076340,30.663856691253947
285,009290,52.76292335115864
286,014200,2.4096385542168677
287,017040,67.59581881533101
288,017900,68.43971631205675
289,037710,26.96629213483146
290,026910,82.83433133732535
291,090150,100.93676814988291
293,331520,4.738154613466334
294,030610,37.45644599303136
296,329050,0.0
297,053270,329.0748898678414
298,007690,79.19375812743823
299,005320,123.9010989010989
300,001140,44.336569579288025
301,066620,71.25984251968504
302,043650,123.36578581363004
303,006050,-1.7241379310344827
304,060480,17.335058214747736
305,078130,16.0
306,307750,247.00000000000003
307,002720,32.11169284467714
308,243870,16.071428571428573
309,204020,72.6027397260274
310,083420,386.06271777003485
311,186230,63.38582677165354
312,014530,128.08988764044943
313,900070,188.0952380952381
314,204620,18.46435100548446
315,019660,158.88888888888889
316,014280,141.73228346456693
317,014285,73.18840579710145
318,053260,152.7075812274368
319,008870,48.30230010952902
320,001570,106.73076923076923
321,002990,53.677621283255085
322,002995,33.54430379746836
323,011780,330.89430894308947
324,011785,405.446623093682
325,214330,-29.67032967032967
326,001210,13.852813852813853
327,073240,24.509803921568626
328,036190,21.881390593047033
329,049080,143.97590361445782
330,035460,45.024875621890544
331,092440,112.41134751773049
332,000270,224.4618395303327
333,024110,27.932960893854748
334,013700,119.5
335,308100,48.333333333333336
336,004540,136.890243902439
337,004545,129.97118155619597
338,187790,27.310924369747898
339,286750,163.6986301369863
340,151910,128.343949044586
341,121600,180.59701492537314
343,039860,31.42329020332717
344,091970,16.31016042780749
345,244880,-15.689655172413794
346,288490,-42.086330935251794
347,051490,263.3699633699634
348,190510,-5.777777777777778
349,242040,-8.346972176759412
350,089600,78.35497835497836
351,293580,235.9621451104101
353,138610,287.81014023732473
354,130580,40.66852367688023
355,036800,35.07625272331155
356,267320,232.1033210332103
357,001260,60.32295271049596
358,008350,-20.525783619817997
359,008355,3.6111111111111107
360,004270,86.3849765258216
361,003920,1.3377926421404682
362,003925,96.79633867276888
363,025860,34.93253373313343
364,111710,-24.88372093023256
365,091590,-25.694444444444443
366,168330,0.0
367,094860,115.68627450980394
368,253590,198.72881355932205
369,212560,192.967409948542
370,095660,40.54054054054054
371,042420,170.8955223880597
373,311390,39.750445632798574
374,085910,32.56578947368421
375,092730,33.93213572854291
376,290660,-14.325842696629213
377,306620,143.7869822485207
378,153460,34.78260869565217
379,007390,13.295454545454547
380,086220,39.0
381,033640,31.07638888888889
383,005720,28.72777017783858
384,005725,26.80851063829787
385,002350,62.56684491978609
386,002355,53.76623376623376
387,089140,142.36111111111111
388,065170,-18.208955223880597
389,003580,28.333333333333332
390,137940,68.9873417721519
392,041140,229.3269230769231
393,217270,470.2127659574468
394,225570,113.70967741935485
395,251270,37.52665245202559
396,317860,88.33333333333333
397,104620,197.4296205630355
398,090350,83.63939899833055
399,090355,24.63054187192118
400,000320,67.1001300390117
401,000325,13.194444444444445
402,194700,87.06697459584296
403,285490,284.15841584158414
404,229500,-8.88888888888889
405,278650,64.24050632911393
406,006280,152.98245614035088
407,144510,204.80480480480477
408,031390,12.096774193548388
409,142280,82.72058823529412
