,종목코드,업종명
619,393360,금융
620,056700,IT부품
621,187270,IT부품
622,243840,IT부품
623,257720,유통
624,222800,반도체
625,036710,IT부품
626,160980,반도체
627,356890,소프트웨어
628,217330,기타서비스
629,010280,컴퓨터서비스
630,208640,출판·매체복제
631,222420,비금속
632,037760,금속
633,136510,기계·장비
634,099320,통신장비
635,049960,제약
636,050890,통신장비
637,066790,방송서비스
638,222080,기계·장비
639,352480,화학
640,264660,반도체
641,352700,섬유·의류
642,297090,기계·장비
643,115530,IT부품
644,225330,기타서비스
645,115480,의료·정밀기기
646,376290,IT부품
647,189330,소프트웨어
648,096530,제약
649,900120,금융
650,101240,화학
651,060590,제약
652,260930,화학
653,013990,유통
654,123860,반도체
655,025980,숙박·음식
656,050320,컴퓨터서비스
657,058220,통신장비
658,125210,IT부품
659,357580,IT부품
660,052710,IT부품
661,074430,유통
662,092040,음식료·담배
663,083930,기계·장비
664,149950,IT부품
665,036010,일반전기전자
666,050860,기계·장비
667,246720,제약
668,067390,운송장비·부품
669,159010,기계·장비
670,127710,디지털컨텐츠
671,154030,"농업, 임업 및 어업"
672,227610,화학
673,143160,통신장비
674,054800,기타서비스
675,332370,정보기기
676,339950,기타서비스
677,099190,의료·정밀기기
678,289010,출판·매체복제
679,214430,일반전기전자
680,040910,반도체
681,068940,정보기기
682,052860,반도체
683,069920,유통
684,038880,반도체
685,307180,일반전기전자
686,101390,IT부품
687,078860,오락·문화
688,114810,IT부품
689,031310,통신장비
690,185490,기타서비스
691,059100,IT부품
692,262840,소프트웨어
693,175250,제약
694,052460,컴퓨터서비스
695,119830,반도체
696,052770,디지털컨텐츠
697,124500,컴퓨터서비스
698,084850,반도체
699,114840,화학
700,027360,금융
701,032080,섬유·의류
702,013310,운송장비·부품
703,059120,반도체
704,158430,소프트웨어
705,067160,소프트웨어
706,001540,제약
707,053800,소프트웨어
708,065660,유통
709,297570,통신장비
710,260660,제약
711,131370,디지털컨텐츠
712,140670,IT부품
713,096610,반도체
714,061040,통신장비
715,148250,정보기기
716,347860,소프트웨어
717,196170,기타서비스
718,123750,운송장비·부품
719,085810,소프트웨어
720,117670,반도체
721,291650,기타서비스
722,293780,기타서비스
723,196300,제약
724,310200,오락·문화
725,900100,유통
726,205500,디지털컨텐츠
727,052790,디지털컨텐츠
728,290740,IT부품
729,238090,비금속
730,092600,반도체
731,129890,정보기기
732,174900,제약
733,255440,IT부품
734,060230,IT부품
735,030960,출판·매체복제
736,102120,반도체
737,238120,의료·정밀기기
738,019990,기계·장비
739,270660,일반전기전자
740,038680,컴퓨터서비스
741,217480,화학
742,121890,정보기기
743,097780,IT부품
744,042110,일반전기전자
745,298060,제약
746,065420,광업
747,103230,기계·장비
748,260970,음식료·담배
749,101490,반도체
750,095910,IT부품
751,275630,소프트웨어
752,031330,유통
753,060540,통신장비
754,056190,기계·장비
755,080000,기계·장비
756,214310,반도체
757,041510,오락·문화
758,007820,기계·장비
759,109610,금속
760,306040,섬유·의류
761,096630,IT부품
762,069510,일반전기전자
763,041910,제약
764,234300,소프트웨어
765,039440,반도체
766,098660,섬유·의류
767,052020,IT부품
768,237690,제약
769,050760,화학
770,288620,일반전기전자
771,317830,기계·장비
772,058610,IT부품
773,043340,기계·장비
774,187660,기타서비스
775,054630,기타제조
776,200710,반도체
777,096690,정보기기
778,298380,제약
779,203400,기타서비스
780,195990,기계·장비
781,003800,기타제조
782,088800,통신장비
783,241840,오락·문화
784,312610,일반전기전자
785,072990,기타서비스
786,227100,일반전기전자
787,176440,IT부품
788,028300,운송장비·부품
789,067630,기타서비스
790,047920,기타서비스
791,043220,기계·장비
792,239610,음식료·담배
793,353070,금융
794,353060,금융
795,044780,기계·장비
796,357230,음식료·담배
797,071670,기계·장비
798,045660,정보기기
799,224110,정보기기
800,230980,출판·매체복제
801,021080,금융
802,089530,반도체
803,200470,반도체
804,262260,일반전기전자
805,109960,유통
806,089970,기계·장비
807,230240,통신장비
808,064510,기계·장비
809,230360,기타서비스
810,038870,기타서비스
811,128540,운송장비·부품
812,086520,IT부품
813,247540,일반전기전자
814,383310,화학
815,038110,운송장비·부품
816,073540,통신장비
817,064850,기타서비스
818,064090,유통
819,036810,반도체
820,173940,오락·문화
821,083500,기계·장비
822,054940,건설
823,950130,제약
824,205100,소프트웨어
825,070300,소프트웨어
826,092870,반도체
827,317870,기타제조
828,067570,운송장비·부품
829,236810,기타서비스
830,333620,일반전기전자
831,101400,반도체
832,217820,기계·장비
833,031860,유통
834,359090,금융
835,365590,금융
836,391060,금융
837,391710,금융
838,265740,화학
839,354200,기타서비스
840,208860,소프트웨어
841,183490,제약
842,182400,제약
843,348370,화학
844,069410,소프트웨어
845,227950,기계·장비
846,291230,기타서비스
847,198080,IT부품
848,048830,화학
849,096870,반도체
850,376190,반도체
851,061970,반도체
852,138690,반도체
853,290650,제약
854,066970,IT부품
855,156100,의료·정밀기기
856,073110,IT부품
857,083310,반도체
858,037950,IT부품
859,170920,반도체
860,058630,디지털컨텐츠
861,058970,소프트웨어
862,019590,금융
863,169330,기타서비스
864,179290,의료·정밀기기
865,009780,음식료·담배
866,123040,운송장비·부품
867,323230,섬유·의류
868,032790,정보기기
869,033160,반도체
870,347890,정보기기
871,033310,금속
872,259630,기계·장비
873,065150,유통
874,115960,화학
875,090740,IT부품
876,060850,소프트웨어
877,007530,금속
878,143540,반도체
879,036560,기계·장비
880,265560,운송장비·부품
881,036000,출판·매체복제
882,250930,화학
883,053280,인터넷
884,122640,반도체
885,900300,금융
886,045060,화학
887,080520,반도체
888,039830,기타서비스
889,322310,기계·장비
890,046120,기타서비스
891,014940,기계·장비
892,065500,운송장비·부품
893,010470,기타서비스
894,352910,소프트웨어
895,053980,컴퓨터서비스
896,052420,IT부품
897,241790,반도체
898,039200,제약
899,226400,의료·정밀기기
900,031510,운송장비·부품
901,048260,의료·정밀기기
902,138080,통신장비
903,080580,반도체
904,067170,운송장비·부품
905,173130,소프트웨어
906,049480,컴퓨터서비스
907,309930,유통
908,244460,제약
909,226950,기타서비스
910,057540,의료·정밀기기
911,082210,IT부품
912,109080,통신장비
913,153710,제약
914,321820,출판·매체복제
915,122990,반도체
916,232140,반도체
917,065530,통신서비스
918,067900,기타서비스
919,155650,IT부품
920,273640,일반전기전자
921,251370,화학
922,066430,유통
923,193250,IT부품
924,273060,기타서비스
925,019210,금속
926,122870,오락·문화
927,332570,IT부품
928,079000,화학
929,032820,일반전기전자
930,041190,금융
