,종목코드,업종명
456,001820,전기전자
457,000390,화학
458,001290,증권
459,041650,운수장비
460,075180,운수장비
461,007540,기타금융
462,248170,음식료품
463,007860,기타금융
464,200880,운수장비
465,017390,전기가스업
466,004410,음식료품
467,004415,음식료품
468,021050,철강금속
469,008490,화학
470,007610,전기전자
471,136490,음식료품
472,014910,전기전자
473,014915,전기전자
474,003080,화학
475,004980,비금속광물
476,004985,비금속광물
477,011300,섬유의복
478,000180,서비스업
479,002420,서비스업
480,004360,운수창고업
481,004365,운수창고업
482,004490,전기전자
483,001430,철강금속
484,306200,철강금속
485,003030,기타금융
486,019440,철강금속
487,058650,철강금속
488,013000,유통업
489,091090,기계
490,021820,운수장비
491,067830,유통업
492,033530,운수장비
493,075580,운수장비
494,027970,종이목재
495,308170,운수장비
496,012600,기계
497,068270,의약품
498,336370,전기전자
499,33637K,전기전자
500,33637L,전기전자
501,248070,전기전자
502,004430,화학
503,017550,기계
504,053210,서비스업
505,134790,기타제조업
506,016590,종이목재
507,029530,전기전자
508,004970,"농업, 임업 및 어업"
509,011930,전기전자
510,005390,유통업
511,004170,유통업
512,035510,서비스업
513,034300,건설업
514,031430,유통업
515,031440,서비스업
516,006880,유통업
517,005800,섬유의복
518,001720,증권
519,001725,증권
520,009270,섬유의복
521,009275,섬유의복
522,002700,유통업
523,019170,의약품
524,019175,의약품
525,002870,종이목재
526,293940,서비스업
527,055550,기타금융
528,004080,유통업
529,102280,섬유의복
530,003410,비금속광물
531,003620,운수장비
532,004770,전기전자
533,015540,서비스업
534,004920,기타제조업
535,112610,기계
536,008700,전기전자
537,002790,화학
538,00279K,화학
539,002795,화학
540,090430,화학
541,090435,화학
542,002030,서비스업
543,183190,비금속광물
544,002310,종이목재
545,012170,서비스업
546,267850,서비스업
547,020560,운수창고업
548,122900,유통업
549,010780,비금속광물
550,139990,철강금속
551,001780,철강금속
552,018250,화학
553,161000,화학
554,011090,기타제조업
555,137310,의료정밀
556,005850,운수장비
557,012750,서비스업
558,023960,건설업
559,298690,운수창고업
560,140910,서비스업
561,078520,화학
562,015260,전기전자
563,007460,기계
564,003060,의약품
565,244920,기타금융
566,036570,서비스업
567,138250,유통업
568,380440,기타금융
569,085310,기계
570,009810,유통업
571,900140,유통업
572,097520,전기전자
573,014440,화학
574,111770,유통업
575,009970,기타금융
576,003520,의약품
577,000670,철강금속
578,006740,종이목재
579,012280,운수장비
580,012160,철강금속
581,015360,기타금융
582,007310,음식료품
583,002630,의약품
584,271560,음식료품
585,001800,기타금융
586,011690,전기전자
587,070960,서비스업
588,316140,기타금융
589,118000,유통업
590,010050,기타금융
591,006980,음식료품
592,017370,기계
593,105840,의료정밀
594,010400,건설업
595,049800,기계
596,016880,기타금융
597,095720,서비스업
598,005820,섬유의복
599,010600,유통업
600,008600,유통업
601,033270,의약품
602,014830,화학
603,000910,비금속광물
604,047400,비금속광물
605,011330,기타제조업
606,077500,유통업
607,002920,운수장비
608,000700,서비스업
609,003470,증권
610,003475,증권
611,072130,서비스업
612,000220,의약품
613,000225,의약품
614,000227,의약품
615,001200,증권
616,000100,의약품
617,000105,의약품
618,003460,증권
619,003465,증권
620,008730,화학
621,008250,종이목재
622,025820,철강금속
623,214320,서비스업
624,088260,서비스업
625,139480,유통업
626,007660,전기전자
627,005950,화학
628,015020,서비스업
629,093230,유통업
630,074610,기계
631,102460,의약품
632,084680,기타제조업
633,350520,서비스업
634,334890,서비스업
635,000760,유통업
636,014990,섬유의복
637,101140,유통업
638,006490,통신업
639,023800,운수장비
640,034590,전기가스업
641,129260,운수창고업
642,023810,운수장비
643,249420,의약품
644,000230,의약품
645,013360,건설업
646,003120,의약품
647,003200,섬유의복
648,007110,유통업
649,007570,의약품
650,007575,의약품
651,008500,섬유의복
652,081000,화학
653,020760,전기전자
654,020150,전기전자
655,103590,전기전자
656,271940,운수장비
657,015860,기타금융
658,226320,화학
659,317400,서비스업
660,033240,전기전자
661,000950,섬유의복
662,348950,서비스업
663,194370,기타제조업
664,025620,화학
665,036420,서비스업
666,030000,서비스업
667,271980,의약품
668,001560,비금속광물
669,002620,서비스업
670,006220,은행
671,089590,운수창고업
672,004910,화학
673,004700,기타제조업
674,001550,화학
675,000480,비금속광물
676,120030,기계
677,018470,철강금속
678,002600,음식료품
679,185750,의약품
680,063160,의약품
681,001630,의약품
682,044380,전기전자
683,013890,기타제조업
684,013870,운수장비
685,071320,전기가스업
686,010580,운수장비
687,035000,서비스업
688,088790,유통업
689,003780,화학
690,010640,화학
691,100250,화학
692,051630,화학
693,272450,운수창고업
694,011000,의약품
695,002780,건설업
696,002787,건설업
697,002785,건설업
698,009310,기계
699,000650,운수창고업
700,033250,운수장비
701,035720,서비스업
702,323410,은행
703,377300,기타금융
704,006380,화학
705,109070,종이목재
706,001620,운수장비
707,029460,의료정밀
708,281820,의료정밀
709,381970,유통업
710,145270,서비스업
711,357120,서비스업
712,007815,전기전자
713,007810,전기전자
714,00781K,전기전자
715,003690,보험
716,192820,화학
717,044820,기타금융
718,005070,화학
719,005420,화학
720,071950,기타제조업
721,002020,기타금융
722,003070,건설업
723,003075,건설업
724,144620,화학
725,002025,기타금융
726,120110,화학
727,120115,화학
728,138490,화학
729,021240,서비스업
730,031820,서비스업
731,192400,기타금융
732,284740,서비스업
733,015590,기계
734,264900,음식료품
735,26490K,음식료품
736,005740,기타금융
737,005745,기타금융
738,259960,서비스업
739,020120,서비스업
740,039490,증권
741,014580,비금속광물
742,015890,화학
743,006890,화학
744,003240,화학
745,011280,종이목재
746,004100,운수장비
747,004105,운수장비
748,009410,건설업
749,009415,건설업
750,001420,운수장비
751,007980,섬유의복
752,055490,화학
753,078000,서비스업
754,214420,화학
755,019180,전기전자
756,363280,기타금융
757,36328K,기타금융
758,091810,운수창고업
759,004870,비금속광물
760,005690,의약품
761,036580,음식료품
762,004720,의약품
763,028670,운수창고업
764,010820,기계
765,016800,기타제조업
766,001020,종이목재
767,090080,운수장비
768,010770,운수장비
769,058430,철강금속
770,047050,유통업
771,003670,비금속광물
772,007630,유통업
773,017810,음식료품
774,103140,철강금속
775,005810,기타금융
776,950210,서비스업
777,086790,기타금융
778,293480,의약품
779,039130,서비스업
780,172580,서비스업
781,153360,서비스업
782,352820,서비스업
783,071090,철강금속
784,019490,전기전자
785,000080,음식료품
786,000087,음식료품
787,000140,기타금융
788,000145,기타금융
789,152550,기타금융
790,036460,전기가스업
791,005430,운수창고업
792,071050,기타금융
793,071055,기타금융
794,010040,비금속광물
795,025540,전기전자
796,004090,비금속광물
797,002200,종이목재
798,002960,화학
799,000240,기타금융
800,123890,기타금융
801,015760,전기가스업
802,006200,기타금융
803,009540,운수장비
804,023350,서비스업
805,025890,기계
806,000970,철강금속
807,104700,철강금속
808,017960,기계
809,161890,화학
810,024720,기타금융
811,161390,화학
812,034830,기타금융
813,007280,철강금속
814,168490,기타금융
815,010100,운수장비
816,047810,운수장비
817,123690,유통업
818,003350,화학
819,011500,화학
820,002390,의약품
821,014790,건설업
822,060980,기타금융
823,053690,서비스업
824,042700,기계
825,008930,기타금융
826,128940,의약품
827,009240,유통업
828,020000,섬유의복
829,003680,음식료품
830,105630,섬유의복
831,069640,유통업
832,016450,섬유의복
833,010420,유통업
834,009180,운수창고업
835,213500,종이목재
836,014680,화학
837,004710,전기전자
838,004150,기타금융
839,025750,종이목재
840,004960,건설업
841,011700,기계
842,001750,증권
843,001755,증권
844,018880,기계
845,009420,의약품
846,014130,운수창고업
847,300720,비금속광물
848,002220,철강금속
849,006390,비금속광물
850,003300,비금속광물
851,051600,건설업
852,052690,서비스업
853,130660,서비스업
854,002320,운수창고업
855,097230,건설업
856,003480,전기가스업
857,180640,운수창고업
858,18064K,운수창고업
859,005110,유통업
860,009460,종이목재
861,372910,의료정밀
862,000880,화학
863,00088K,화학
864,088350,보험
865,000370,보험
866,009830,화학
867,009835,화학
868,272210,전기전자
869,012450,운수장비
870,000885,화학
871,003530,증권
872,003535,증권
873,195870,전기전자
874,101530,음식료품
875,143210,운수장비
876,000720,건설업
877,267270,기계
878,000725,건설업
879,005440,유통업
880,086280,운수창고업
881,042670,기계
882,064350,운수장비
883,079430,기타제조업
884,012330,운수장비
885,010620,운수장비
886,069960,유통업
887,004560,철강금속
888,004565,철강금속
889,004310,의약품
890,322000,전기전자
891,017800,기계
892,307950,서비스업
893,011210,운수장비
894,267260,전기전자
