,종목코드,외국인체결강도
276,005810,43.1414
277,005820,71.2983
278,005830,157.1699
279,005850,88.6876
280,005870,84.1346
281,005880,93.7727
282,005930,88.4221
283,005931,54.6468
284,005940,210.8473
285,005941,307.2298
286,005950,68.8957
287,005960,440.912
288,005961,inf
289,006040,170.1569
290,006060,81.2754
291,006090,155.3268
292,006110,101.2845
293,006120,109.302
294,006121,91.778
295,006200,93.3143
296,006220,82.8065
297,006260,72.7692
298,006280,107.9069
299,006340,79.4343
300,006341,inf
301,006360,75.8741
302,006370,94.09
303,006380,91.6793
304,006390,145.1242
305,006400,105.85
306,006401,97.6306
307,006490,86.482
308,006570,177.358
309,006650,81.3458
310,006660,118.7176
311,006740,104.1091
312,006800,143.3351
313,006801,9.8455
314,00680K,30.8003
315,006840,51.6571
316,006880,120.131
317,006890,95.9969
318,006980,91.7905
319,007070,155.0874
320,007110,104.1092
321,007120,192.5564
322,007160,85.1002
323,007210,108.7756
324,007280,208.6991
325,007310,75.3673
326,007340,159.144
327,007460,105.1405
328,007540,164.2319
329,007570,111.2451
330,007571,0.0
331,007590,142.9969
332,007610,89.7824
333,007660,97.3239
334,007690,98.5341
335,007700,124.4926
336,007810,102.4292
337,007860,92.5954
338,007980,79.6838
339,008040,100.5405
340,008060,77.9349
341,00806K,36.6121
342,008110,66.0055
343,008250,170.2475
344,008260,118.9065
345,008350,86.1836
346,008351,20.0
347,008420,110.3174
348,008490,42.2541
349,008560,89.1134
350,008600,101.3917
351,008700,76.837
352,008730,124.2319
353,008770,91.2431
354,008771,74.5684
355,008870,130.5723
356,008930,91.4135
357,008970,87.9999
358,009070,98.7025
359,009140,112.3945
360,009150,89.006
361,009151,107.2262
362,009160,120.3739
363,009180,102.5339
364,009190,130.0276
365,009200,117.4613
366,009240,143.2338
367,009270,77.0604
368,009271,6.25
369,009290,47.0862
370,009310,88.4072
371,009320,85.2232
372,009410,159.2594
373,009411,118.7774
374,009420,79.0119
375,009440,87.1768
376,009450,107.1331
377,009460,101.366
378,009470,104.118
379,009540,188.0805
380,009580,152.7492
381,009680,126.7424
382,009770,59.7162
383,009810,149.4788
384,009830,104.5598
385,009831,126.7765
386,009900,91.0978
387,009970,49.368
388,010040,179.6085
389,010050,180.182
390,010060,93.3549
391,010100,103.6993
392,010120,121.0419
393,010130,85.8834
394,010140,137.127
395,010141,8.3333
396,010400,38.8332
397,010420,161.1684
398,010600,101.1006
399,010620,86.2645
400,010640,84.0688
401,010660,313.9297
402,010690,95.7501
403,010770,62.5826
404,010780,106.3494
405,010820,105.191
406,010950,63.7383
407,010951,145.388
408,010960,152.4817
409,011000,127.856
410,011070,74.0123
411,011090,95.683
412,011150,116.6676
413,011151,100.0
414,011170,68.2872
415,011200,101.4615
416,011210,64.8026
417,011230,91.8694
418,011280,121.4423
419,011300,94.048
420,011330,203.2267
421,011390,141.3595
422,011420,148.5738
423,011500,100.3366
424,011700,97.5437
425,011760,82.0235
426,011780,71.0162
427,011781,117.6005
428,011790,102.9894
429,011810,111.132
430,011930,110.0093
431,012030,201.375
432,012160,125.0561
433,012200,161.8016
434,012201,3.4836
435,012280,100.8762
436,012320,197.4592
437,012330,74.2359
438,012450,86.991
439,012510,38.12
440,012600,98.4149
441,012610,93.8634
442,012630,95.9311
443,012690,96.4027
444,012750,103.8979
445,012800,169.6901
446,013000,128.7487
447,013360,79.5933
448,013520,94.4729
449,013570,128.2824
450,013580,202.3135
451,013700,107.6163
452,013870,87.0495
453,013890,59.2557
454,014130,133.2602
455,014160,102.1695
456,014280,139.5667
457,014281,23.8095
458,014440,244.3411
459,014530,99.9683
460,014580,151.4675
461,014680,103.3622
462,014710,86.6596
463,014790,146.623
464,014820,67.2298
465,014830,105.784
466,014910,347.258
467,014911,27.2727
468,014990,147.0392
469,015020,103.8777
470,015230,107.9975
471,015260,147.8884
472,015350,19.8672
473,015360,2.0974
474,015540,99.0141
475,015590,123.3832
476,015760,64.1283
477,015860,57.7553
478,015890,95.9065
479,016090,121.3429
480,016360,124.1881
481,016380,123.4782
482,016450,168.5995
483,016580,53.5821
484,016590,105.8715
485,016610,162.3324
486,016710,96.3417
487,016740,99.0145
488,016800,0.0
489,016880,101.689
490,017040,75.6754
491,017180,84.9263
492,017370,70.5301
493,017390,169.5536
494,017550,66.6212
495,017670,177.5027
496,017800,128.441
497,017810,113.1588
498,017900,63.7716
499,017940,93.8509
500,017960,54.3914
501,018250,84.1835
502,018260,93.6667
503,018470,177.8996
504,018500,82.9931
505,018670,33.8349
506,018880,83.8634
507,019170,105.3708
508,019171,92.2228
509,019180,118.4571
510,019440,193.4052
511,019490,90.2045
512,019680,29.5515
513,019681,1442.31
514,020000,68.3565
515,020120,101.7546
516,020150,87.5198
517,020560,93.3551
518,020760,108.6242
519,021050,75.5478
520,021240,72.4073
521,023000,154.9485
522,023150,148.8499
523,023350,154.9685
524,023450,inf
525,023530,116.9517
526,023590,154.906
527,023800,124.0665
528,023810,85.8131
529,023960,90.9825
530,024070,186.4053
531,024090,113.724
532,024110,168.6537
533,024720,89.147
534,024890,89.7429
535,024900,92.3496
536,025000,74.4835
537,025530,1308.9595
538,025540,129.588
539,025560,83.9057
540,025620,98.9441
541,025750,101.5846
542,025820,174.023
543,025860,114.5469
544,025890,99.3634
545,026890,102.7498
546,026940,160.9052
547,026960,92.7813
548,027410,60.6984
549,027740,99.565
550,027970,113.1002
551,028050,133.8706
552,028100,93.2305
553,028260,109.477
554,02826K,185.7143
555,028670,64.003
556,029460,70.6552
557,029530,226.9966
558,029780,158.8959
559,030000,94.1971
560,030200,197.295
561,030210,140.1322
562,030610,84.0652
563,030720,48.9324
564,030790,86.1297
565,031430,140.3926
566,031440,92.8312
567,031820,98.4736
568,032350,69.0601
569,032560,62.4249
570,032640,133.3342
571,032830,106.0458
572,033180,129.5931
573,033240,56.0033
