,거래일자,종목코드,외국인_일순매수금액
494,20210318,KR7020560009,-211276550
495,20210318,KR7020760005,8638430
496,20210318,KR7021050000,-220745060
497,20210318,KR7021240007,-3183813300
498,20210318,KR7023000003,420617015
499,20210318,KR7023150006,219845680
500,20210318,KR7023350002,-14038660
501,20210318,KR7023530009,-869730000
502,20210318,KR7023590003,-1130936900
503,20210318,KR7023800006,501792650
504,20210318,KR7023810005,72117560
505,20210318,KR7023960008,-148704935
506,20210318,KR7024070005,64429245
507,20210318,KR7024090003,-19067100
508,20210318,KR7024110009,7433280880
509,20210318,KR7024720005,-54003750
510,20210318,KR7024890006,52220815
511,20210318,KR7024900003,25590080
512,20210318,KR7025000001,-10699800
513,20210318,KR7025530007,7070
514,20210318,KR7025540006,-43967600
515,20210318,KR7025560004,-117997830
516,20210318,KR7025620006,-5270030
517,20210318,KR7025750001,-330300240
518,20210318,KR7025820002,68679430
519,20210318,KR7025860008,-674422690
520,20210318,KR7025890005,13361040
521,20210318,KR7026890004,1325400
522,20210318,KR7026940007,25683020
523,20210318,KR7026960005,1569383950
524,20210318,KR7027410000,-202811360
525,20210318,KR7027740000,460112
526,20210318,KR7027970003,-78485895
527,20210318,KR7028050003,2166007600
528,20210318,KR7028100006,-7851250
529,20210318,KR7028260008,-5940039500
530,20210318,KR702826K016,109205500
531,20210318,KR7028670008,-6863986750
532,20210318,KR7029460003,-375454150
533,20210318,KR7029530003,190194200
534,20210318,KR7029780004,463689150
535,20210318,KR7030000004,-363231850
536,20210318,KR7030200000,5863908700
537,20210318,KR7030210009,-188309555
538,20210318,KR7030610000,11999450
539,20210318,KR7030720007,45820630
540,20210318,KR7030790000,39464350
541,20210318,KR7031430002,-569370000
542,20210318,KR7031440001,-224577900
543,20210318,KR7031820004,549915345
544,20210318,KR7032350001,-1995913700
545,20210318,KR7032560005,-179930470
546,20210318,KR7032640005,2182264100
547,20210318,KR7032830002,-1766993900
548,20210318,KR7033180001,711199880
549,20210318,KR7033240003,56262150
550,20210318,KR7033250002,55203155
551,20210318,KR7033270000,-859869500
552,20210318,KR7033530007,143516400
553,20210318,KR7033660002,-28480250
554,20210318,KR7033780008,25496350500
555,20210318,KR7033920000,5603360
556,20210318,KR7034020008,-2314490850
557,20210318,KR7034220004,-6358578500
558,20210318,KR7034300004,282799600
559,20210318,KR7034310003,115574100
560,20210318,KR7034730002,-7983594500
561,20210318,KR703473K016,10485000
562,20210318,KR7034830000,183102955
563,20210318,KR7035000009,35263930
564,20210318,KR7035150002,15026430
565,20210318,KR7035250000,-4306748800
566,20210318,KR7035420009,130790595000
567,20210318,KR7035510007,84418000
568,20210318,KR7035720002,74303171500
569,20210318,KR7036420008,-170246800
570,20210318,KR7036460004,-731472750
571,20210318,KR7036530004,85869450
572,20210318,KR7036570000,-2364766000
573,20210318,KR7036580009,4658190
574,20210318,KR7037270006,-148294350
575,20210318,KR7037560000,-228573835
576,20210318,KR7037710001,23883500
577,20210318,KR7039130000,-403769100
578,20210318,KR7039490008,905900000
579,20210318,KR7039570007,-1781450
580,20210318,KR7041650003,296157430
581,20210318,KR7042660001,-807067700
582,20210318,KR7042670000,-1135410620
583,20210318,KR7042700005,4983373600
584,20210318,KR7044380004,67836135
585,20210318,KR7044450005,383007950
586,20210318,KR7044820009,66665300
587,20210318,KR7047040001,-1285866670
588,20210318,KR7047050000,6789519650
589,20210318,KR7047400007,-87788825
590,20210318,KR7047810007,691817950
591,20210318,KR7049770001,788785500
592,20210318,KR7049800006,-9357050
593,20210318,KR7051600005,-782314700
594,20210318,KR7051630002,-83925825
595,20210318,KR7051900009,-1354346000
596,20210318,KR7051901007,-1475360000
597,20210318,KR7051910008,-28183940000
598,20210318,KR7051911006,5148413000
599,20210318,KR7052690005,-1002674800
600,20210318,KR7053210001,-118169410
601,20210318,KR7053690004,228147150
602,20210318,KR7055490007,-664398950
603,20210318,KR7055550008,20907319550
604,20210318,KR7057050007,710208000
605,20210318,KR7058430000,1291445100
606,20210318,KR7058650003,-8615800
607,20210318,KR7058730003,-15390510
608,20210318,KR7058850009,-195690280
609,20210318,KR7058860008,84656345
610,20210318,KR7060980000,279109850
611,20210318,KR7063160006,-313284300
612,20210318,KR7064350002,134668650
613,20210318,KR7064960008,-464282800
614,20210318,KR7066570003,-51187290500
615,20210318,KR7066571001,-371267100
616,20210318,KR7067830000,286775195
617,20210318,KR7068270008,-16952560500
618,20210318,KR7068290006,-4297590150
619,20210318,KR7068400001,420567100
620,20210318,KR7069260008,-1160956950
621,20210318,KR7069460004,487925110
622,20210318,KR7069620003,-2945103500
623,20210318,KR7069640001,548920
624,20210318,KR7069730000,18130710
625,20210318,KR7069960003,475727100
626,20210318,KR7070960000,-194275805
627,20210318,KR7071050009,5188823500
628,20210318,KR7071051007,41631100
629,20210318,KR7071090005,103129650
630,20210318,KR7071320006,-46978700
631,20210318,KR7071840003,296383350
632,20210318,KR7071950000,-2956805
633,20210318,KR7071970008,3202255
634,20210318,KR7072130008,17159680
635,20210318,KR7072710007,-4112900
636,20210318,KR7073240004,64110320
637,20210318,KR7074610007,-330374660
638,20210318,KR7075180000,-4609430
639,20210318,KR7075580001,65895690
640,20210318,KR7077500007,-203234400
641,20210318,KR7077970002,-10578070
642,20210318,KR7078000007,-2943000
643,20210318,KR7078520004,-125213260
644,20210318,KR7078930005,-2723491550
645,20210318,KR7078931003,-1209900
646,20210318,KR7079160008,-1349221800
647,20210318,KR7079430005,87445600
648,20210318,KR7079550000,-389732850
649,20210318,KR7079980009,-50708880
650,20210318,KR7081000002,14955100
651,20210318,KR7081660003,-4194277100
652,20210318,KR7082640004,-223303485
653,20210318,KR7082740002,-66952430
654,20210318,KR7083420000,138229800
655,20210318,KR7084010008,-117238150
656,20210318,KR7084670009,-2878450
657,20210318,KR7084680008,95536530
658,20210318,KR7084690007,32838190
659,20210318,KR7084870005,1753010
660,20210318,KR7085310001,-223925515
661,20210318,KR7085620003,-71788105
662,20210318,KR7086280005,5466029500
663,20210318,KR7086790003,-3427770750
664,20210318,KR7088260005,3417580
665,20210318,KR7088350004,-162198230
666,20210318,KR7088790001,-181425445
667,20210318,KR7088980008,-6011310100
668,20210318,KR7089470009,103206260
669,20210318,KR7089590004,-844368250
670,20210318,KR7090080003,1014175
671,20210318,KR7090350000,41198830
672,20210318,KR7090370008,-152535150
673,20210318,KR7090430000,-1866264000
674,20210318,KR7090431008,-1140980400
675,20210318,KR7091090001,-97616895
676,20210318,KR7091810002,-122485615
677,20210318,KR7092200005,60485730
678,20210318,KR7092220003,1138673805
679,20210318,KR7092230002,20002800
680,20210318,KR7092440007,39295800
681,20210318,KR7092780006,12341210
682,20210318,KR7093050003,-366026400
683,20210318,KR7093230001,708743423
684,20210318,KR7093240000,268367555
685,20210318,KR7093370005,110875550
686,20210318,KR7094280005,22994000
687,20210318,KR7094800000,-14161985
688,20210318,KR7095570008,17508010
689,20210318,KR7095720009,141188845
690,20210318,KR7096760004,-203866290
691,20210318,KR7096770003,-15694016500
692,20210318,KR7096771001,-139373000
693,20210318,KR7097230007,15512390
694,20210318,KR7097950000,801844000
695,20210318,KR7097951008,-162867000
696,20210318,KR7100220003,52070400
697,20210318,KR7100250000,13934950
698,20210318,KR7100840008,68372300
699,20210318,KR7101060002,-7543485
700,20210318,KR7101140002,-97155310
701,20210318,KR7101530004,-6790100
702,20210318,KR7102260007,11591515
703,20210318,KR7102280005,17118055
704,20210318,KR7102460003,50993900
705,20210318,KR7103140000,-1061397300
706,20210318,KR7103590006,-25140280
707,20210318,KR7104700000,-131634720
708,20210318,KR7105560007,-708460900
709,20210318,KR7105630008,-1251640000
710,20210318,KR7105840003,114603205
711,20210318,KR7107590002,-2065300
712,20210318,KR7108670001,193274000
713,20210318,KR7108671009,-5988500
714,20210318,KR7111110003,27949300
715,20210318,KR7111770004,2241843650
716,20210318,KR7112610001,10018272800
717,20210318,KR7114090004,-295931000
718,20210318,KR7115390007,-43163300
719,20210318,KR7117580001,432950
720,20210318,KR7118000009,250966550
721,20210318,KR7119650000,-334410750
722,20210318,KR7120030002,-35067000
723,20210318,KR7120110002,-607017700
724,20210318,KR7120111000,-39596150
725,20210318,KR7122900004,-12432370
726,20210318,KR7123690000,-98563750
727,20210318,KR7123700007,-25431365
728,20210318,KR7123890006,629607010
729,20210318,KR7126560002,-1025629105
730,20210318,KR7128820008,62343590
731,20210318,KR7128940004,307526000
732,20210318,KR7129260006,274643300
733,20210318,KR7130660004,-97423850
734,20210318,KR7133820001,-27899280
735,20210318,KR7134790005,3583400
736,20210318,KR7136490000,-147795050
737,20210318,KR7138040001,220179150
738,20210318,KR7138250006,-61823150
739,20210318,KR7138490008,554366640
740,20210318,KR7138930003,1912624860
741,20210318,KR7139130009,2947856030
742,20210318,KR7139480008,-1250631000
743,20210318,KR7140910001,-609160
744,20210318,KR7143210003,66324090
745,20210318,KR7144620002,9599275
746,20210318,KR7145210001,-17738257
747,20210318,KR7145270005,-17043140
748,20210318,KR7145720009,-202279900
749,20210318,KR7145990008,-20377600
750,20210318,KR7155660004,-18272920
751,20210318,KR7161000005,179200850
752,20210318,KR7161390000,-612448900
753,20210318,KR7161890009,-1904453800
754,20210318,KR7163560006,-6732390
755,20210318,KR7170900005,-188468800
756,20210318,KR7175330000,-277131830
757,20210318,KR7180640005,-51035100
758,20210318,KR718064K016,-15822650
759,20210318,KR7181710005,-1370512000
760,20210318,KR7183190008,-148079200
761,20210318,KR7185750007,-429059500
762,20210318,KR7192080000,-43651100
763,20210318,KR7192400000,-91272000
764,20210318,KR7192650000,-40112880
765,20210318,KR7192820009,-4156744500
766,20210318,KR7194370003,372283800
767,20210318,KR7195870001,-349810650
768,20210318,KR7200880003,-903757680
769,20210318,KR7204320006,834992900
770,20210318,KR7207940008,-4602976000
771,20210318,KR7210540001,-218953550
772,20210318,KR7210980009,-121593500
773,20210318,KR7213500002,-3338450
774,20210318,KR7214320004,120148200
775,20210318,KR7214330003,872347475
776,20210318,KR7214390007,-897891400
777,20210318,KR7214420002,-9268410
778,20210318,KR7226320000,-59016850
779,20210318,KR7227840006,-16944800
780,20210318,KR7229640008,26521860
781,20210318,KR7234080000,-116002800
782,20210318,KR7241560002,-440591950
783,20210318,KR7241590009,248972200
784,20210318,KR7244920005,-67118500
785,20210318,KR7248070005,-41357050
786,20210318,KR7248170003,-64228500
