,종목코드,코스닥 일별변동 표준편차,연간 수익률,1년_만기_국채수익률,코스닥 샤프지수
468,068330,6.926966461721755,199.7824510514866,0.984,28.699207964993317
469,068790,3.237009406948625,166.2480376766091,0.984,51.054543530781906
470,069080,3.7443897006454296,228.96825396825395,0.984,60.88689271016736
471,069110,4.680131458151821,-41.36008918617614,0.984,-9.047628162756304
472,069140,3.2836934015558064,118.39762611275964,0.984,35.75657400204579
473,069330,0.0,0.0,0.984,-inf
474,069410,2.906394913687023,60.78431372549019,0.984,20.575426086755748
475,069510,1.7595268434586573,30.408653846153843,0.984,16.723049128545576
476,069920,2.1928998339441126,3.6269430051813467,0.984,1.205227418175227
477,070300,3.8177793962455655,-54.19024521692266,0.984,-14.451920734650477
478,070590,5.137922239337292,-23.026315789473685,0.984,-4.673156710244534
479,071200,3.063526165192177,50.62240663900415,0.984,16.203030090944335
480,071460,2.673015189325559,89.07363420427554,0.984,32.95515661716155
481,071670,4.965948867354964,214.0,0.984,42.89532689317836
482,071850,3.563815622220823,90.98591549295774,0.984,25.254369202431487
483,072020,1.7585107902334223,25.0,0.984,13.657010314285388
484,072470,3.499385727981228,43.978349120433016,0.984,12.286256063928159
485,072520,5.658793039720742,113.83647798742138,0.984,19.942853042208196
486,072770,4.098311795292496,69.86301369863014,0.984,16.806679710837926
487,072990,2.5940340094266925,58.86481907297592,0.984,22.313053284050103
488,073010,3.648746340085536,69.0909090909091,0.984,18.66583827510259
489,073110,5.046651414034793,17.845117845117844,0.984,3.34105062184935
490,073190,4.462214775505038,135.75581395348837,0.984,30.202897156207534
491,073490,3.075582655396381,36.95652173913043,0.984,11.696164847338265
492,073540,3.6788236793463063,39.94252873563218,0.984,10.589941821445152
493,073560,2.820769750274365,73.45454545454545,0.984,25.691762132480516
494,073570,3.12045957884564,-4.746835443037975,0.984,-1.8365357083580611
495,073640,3.472438344934899,31.147540983606557,0.984,8.686559122814913
496,074430,4.8560172714047996,65.33333333333333,0.984,13.251463027584679
497,074600,3.357252902057932,112.88888888888889,0.984,33.332278548420746
498,075130,2.4472855221462884,70.52220595412396,0.984,28.41442296979652
499,075970,4.795138019009033,247.11246200607903,0.984,51.3287544655376
500,076080,5.6178252745459245,150.92250922509226,0.984,26.689777965230757
501,076610,4.731024195804464,6.093579978237215,0.984,1.0800156090447517
502,077360,3.5596437495698683,152.63157894736844,0.984,42.6018977224035
503,078020,2.0100451569383466,90.09126466753585,0.984,44.33097652555326
504,078070,2.9938777571652344,0.0,0.984,-0.32867073401544106
505,078130,3.2589202769018413,16.0,0.984,4.607661042348439
506,078140,3.2657059947289304,87.03703703703704,0.984,26.350515685102224
507,078150,2.6808861223617915,48.24355971896955,0.984,17.62833539431921
508,078340,2.8364763178552765,106.60146699266504,0.984,37.23544819599438
509,078350,2.3807495096659874,42.59501965923984,0.984,17.478117496316422
510,078600,3.8717098555435587,254.27350427350427,0.984,65.42057998246987
511,078650,3.1205730192301,32.4865831842576,0.984,10.095127718571968
512,078860,3.2301408886956424,53.24074074074075,0.984,16.177851846531205
513,078890,3.703405098594782,137.12820512820514,0.984,36.76189925316666
514,078940,4.034626629896032,-24.750830564784053,0.984,-6.378491227439109
515,079000,2.3147623131059927,88.79618593563767,0.984,37.935724734437024
516,079170,3.3805160443372007,72.82229965156795,0.984,21.25069034117035
517,079190,0.0,0.0,0.984,-inf
518,079370,4.0901505005882735,235.65989847715736,0.984,57.37585901628917
519,079940,3.627012834985462,62.65690376569037,0.984,17.00377323476926
520,079950,3.7997049343902902,81.00358422939068,0.984,21.059420563199815
521,079960,2.8192257198065245,97.39819004524887,0.984,34.198818976390974
522,079970,4.611608678995787,36.182336182336186,0.984,7.632550511636406
523,080000,3.1044468675093198,77.11864406779661,0.984,24.524383027653172
524,080010,1.819009674668755,32.281039461020214,0.984,17.20553765978153
525,080220,4.244043069157922,120.70240295748613,0.984,28.208573995748814
526,080520,3.842297471116011,127.21712538226299,0.984,32.85355346149138
527,080530,3.056417487613486,-33.3889816360601,0.984,-11.246167048631579
528,080580,5.50430017168719,2247.5851148060174,0.984,408.15381515019817
529,080720,5.781173752121714,-15.259847732538894,0.984,-2.8097836925550523
530,081150,4.5564195599381145,127.69230769230768,0.984,27.8087445691741
531,082210,3.9527543340364995,122.9064039408867,0.984,30.84492322000219
532,082270,3.6659123813278054,3.640256959314775,0.984,0.7245827731301833
533,082660,3.8909548144301236,9.025270758122744,0.984,2.0666574508397324
534,082850,7.388284843489287,456.57894736842104,0.984,61.66450766579485
535,083310,3.360376221769264,118.13403416557162,0.984,34.86217805216204
536,083450,3.206703560506897,96.3963963963964,0.984,29.75404323975434
537,083470,0.0,0.0,0.984,-inf
538,083500,3.66353453517516,42.19114219114219,0.984,11.247919678522152
539,083550,3.598750813443031,-19.058659865522838,0.984,-5.5693380577099285
540,083640,5.130502645648695,-9.968479117415288,0.984,-2.1347770138476303
541,083660,3.4064651365922947,-53.30073349633252,0.984,-15.935795999555427
542,083790,3.794031404324925,-0.7025270001048548,0.984,-0.44452109652606836
543,083930,3.835416958170478,174.59459459459458,0.984,45.265116280188764
544,084110,2.3211799102246884,26.97726683377993,0.984,11.198299071640594
545,084180,3.823745856044793,94.49378330373001,0.984,24.455020501926004
546,084370,3.37149189601349,197.9933110367893,0.984,58.43386759129882
547,084730,4.43378161038405,204.01529636711282,0.984,45.79190276120218
548,084850,2.816287814487455,7.18562874251497,0.984,2.2020578687351327
549,084990,4.976906730409832,-52.47604966277115,0.984,-10.741621766009848
550,085660,3.4868608260983938,28.767123287671232,0.984,7.967947295091506
551,085670,3.8835854227897495,57.758620689655174,0.984,14.619124986021674
552,085810,4.642094304077653,102.98047276464544,0.984,21.97208115204616
553,085910,1.8487837445465338,32.56578947368421,0.984,17.082468172301315
554,086060,3.270327600333999,28.716904276985744,0.984,8.480160909308712
555,086390,4.241205938649226,100.0,0.984,23.34619007714005
556,086450,2.7508333226224897,75.92359889419453,0.984,27.242508034892982
557,086520,3.3462741124967286,236.9621790423317,0.984,70.51967983168696
558,086890,5.473799832681375,201.04166666666666,0.984,36.548224776547436
559,086960,2.9641887227350905,97.83715012722645,0.984,32.67442095854779
560,086980,3.868927561481222,117.63392857142858,0.984,30.15045557657561
561,087010,4.3927120363408845,25.273484367280684,0.984,5.529496166908713
562,087600,3.342458653981049,155.7659208261618,0.984,46.30780417936005
563,088130,2.2497414477570516,45.094936708860764,0.984,19.607113854278012
564,088290,5.072081478369441,-4.761904761904762,0.984,-1.1328494596171077
565,088390,4.949404979512647,194.96402877697844,0.984,39.19259579281368
566,088800,4.260436488716145,180.52126200274347,0.984,42.14057936980205
567,088910,2.0803949578121252,27.798507462686565,0.984,12.88914268994691
568,089010,3.3621848398202405,172.9591836734694,0.984,51.14983020465468
569,089030,3.225979110951746,95.79005934718101,0.984,29.38830540635795
570,089140,3.648711164146243,142.35705950991832,0.984,38.746026514542706
571,089150,5.814647300735156,560.1449275362319,0.984,96.16420371112383
572,089230,4.370667074798733,110.83172147001935,0.984,25.1329418576403
573,089530,4.95802328087515,-26.035353535353533,0.984,-5.449622158810093
574,089600,3.015409598443017,95.43065313557116,0.984,31.321334648645397
575,089790,3.6954916871903722,68.84531590413944,0.984,18.36327115532856
576,089850,3.5939701344421424,156.38297872340425,0.984,43.23880636462922
577,089890,2.966418941662945,68.51851851851852,0.984,22.76634549827252
578,089970,3.248528230901279,257.14285714285717,0.984,78.8538190021479
579,090150,3.270631535297137,100.98643649815043,0.984,30.57587974032214
580,090410,3.2219229338727375,18.852459016393443,0.984,5.545898950138957
581,090470,2.2623294293525174,-7.82051282051282,0.984,-3.89179078266806
582,090710,4.7572626330612975,46.42375168690958,0.984,9.551659261172452
583,090850,3.6146599574202387,95.72649572649573,0.984,26.210624745491383
584,091120,3.6548352235593957,171.50641025641025,0.984,46.65666160739819
585,091340,2.510850283738149,-3.3962264150943398,0.984,-1.7445191549107688
586,091440,3.109265405217473,17.77456647398844,0.984,5.400171515050851
587,091590,3.1947977464547175,-25.694444444444443,0.984,-8.350589477549759
588,091700,2.748506304871037,44.5945945945946,0.984,15.86701639261506
589,091970,3.7882870668705304,16.31016042780749,0.984,4.045670287724074
590,092040,3.9683040053796073,127.24550898203593,0.984,31.817499065311097
591,092130,1.4857635813722128,27.82608695652174,0.984,18.066189865638705
592,092300,3.5112683222587595,93.6123348017621,0.984,26.380306573146008
593,092460,2.7624321964411616,47.774566473988436,0.984,16.938177354821114
594,092600,4.524622552775924,188.50931677018633,0.984,41.44551608070307
595,092730,2.3594968945695984,33.93213572854291,0.984,13.964051321437767
596,092870,3.564525123832071,148.94067796610167,0.984,41.50810355547156
597,093320,3.2663854959935317,51.724137931034484,0.984,15.534032340417593
598,093380,3.624445463029173,85.15981735159818,0.984,23.224467911084872
599,093640,2.8350695663127516,21.8436873747495,0.984,7.357733871017243
600,094170,4.145968512991464,198.32613390928725,0.984,47.59856069598991
