,거래일자,종목코드,외국인_일순매수금액
325,20210318,KR7043610005,27577920
326,20210318,KR7043650001,-77924690
327,20210318,KR7043710003,-9704326
328,20210318,KR7043910009,-586292775
329,20210318,KR7044060002,-223095940
330,20210318,KR7044180008,69842065
331,20210318,KR7044340008,-620051350
332,20210318,KR7044480002,-24756440
333,20210318,KR7044490001,49076250
334,20210318,KR7044780005,-2184130
335,20210318,KR7044960003,-706813010
336,20210318,KR7045060001,646879330
337,20210318,KR7045100005,-397483550
338,20210318,KR7045300001,79676170
339,20210318,KR7045340007,235257200
340,20210318,KR7045390002,173215880
341,20210318,KR7045510005,2606870
342,20210318,KR7045520004,168719300
343,20210318,KR7045660008,666726850
344,20210318,KR7045890001,58737525
345,20210318,KR7045970001,11794500
346,20210318,KR7046070009,112017880
347,20210318,KR7046110003,48123270
348,20210318,KR7046120002,-389068920
349,20210318,KR7046140000,-7241130
350,20210318,KR7046210001,15971810
351,20210318,KR7046310009,64539400
352,20210318,KR7046390001,-31406890
353,20210318,KR7046440004,-545211400
354,20210318,KR7046890000,70878500
355,20210318,KR7046940003,47778990
356,20210318,KR7046970000,262563930
357,20210318,KR7047080007,536834570
358,20210318,KR7047310008,211609940
359,20210318,KR7047560008,-134552050
360,20210318,KR7047770003,22493525
361,20210318,KR7047820006,459645420
362,20210318,KR7047920004,-69296700
363,20210318,KR7048260004,-1026285000
364,20210318,KR7048410005,54360400
365,20210318,KR7048430003,107324800
366,20210318,KR7048470009,31608180
367,20210318,KR7048530000,82799600
368,20210318,KR7048550008,2040205
369,20210318,KR7048770002,-3703875
370,20210318,KR7048830004,1783985
371,20210318,KR7048870000,22083450
372,20210318,KR7048910004,746525550
373,20210318,KR7049070006,1196962150
374,20210318,KR7049080005,100760525
375,20210318,KR7049120009,544525
376,20210318,KR7049430002,3464630
377,20210318,KR7049470008,295556958
378,20210318,KR7049480007,56262115
379,20210318,KR7049520000,-22700020
380,20210318,KR7049550007,12500540
381,20210318,KR7049630007,-14524931
382,20210318,KR7049720006,-18434280
383,20210318,KR7049830003,-6316110
384,20210318,KR7049950009,-593968250
385,20210318,KR7049960008,-20401950
386,20210318,KR7050090000,-18433337
387,20210318,KR7050110006,-122201665
388,20210318,KR7050120005,36869005
389,20210318,KR7050760008,31635150
390,20210318,KR7050860006,-112447305
391,20210318,KR7050890003,1055201290
392,20210318,KR7050960004,615795600
393,20210318,KR7051160000,1536519350
394,20210318,KR7051360006,-74203480
395,20210318,KR7051370005,60862450
396,20210318,KR7051380004,47432150
397,20210318,KR7051390003,-21743410
398,20210318,KR7051490001,576859570
399,20210318,KR7051500007,-650793000
400,20210318,KR7051780005,-6020199
401,20210318,KR7051980001,-409317740
402,20210318,KR7052020005,-74653800
403,20210318,KR7052220001,-12905595
404,20210318,KR7052260007,-429175800
405,20210318,KR7052300001,118720314
406,20210318,KR7052330008,-94235400
407,20210318,KR7052400009,-130690350
408,20210318,KR7052420007,-1022016415
409,20210318,KR7052460003,560245510
410,20210318,KR7052600004,35079550
411,20210318,KR7052670007,-609966490
412,20210318,KR7052710001,161275500
413,20210318,KR7052790003,47864300
414,20210318,KR7052860004,41578270
415,20210318,KR7052900008,-205971820
416,20210318,KR7053030003,-463793800
417,20210318,KR7053050001,-9311965
418,20210318,KR7053060000,27980380
419,20210318,KR7053080008,49286100
420,20210318,KR7053110003,109343283
421,20210318,KR7053160008,86424400
422,20210318,KR7053260006,200412100
423,20210318,KR7053270005,-2044189625
424,20210318,KR7053280004,-77693050
425,20210318,KR7053290003,86364200
426,20210318,KR7053300000,-245649550
427,20210318,KR7053350005,-69420475
428,20210318,KR7053450003,-324214900
429,20210318,KR7053580007,58966100
430,20210318,KR7053590006,9361365
431,20210318,KR7053610002,-76335000
432,20210318,KR7053620001,-19365320
433,20210318,KR7053700001,175060730
434,20210318,KR7053800009,511324800
435,20210318,KR7053950002,-15530910
436,20210318,KR7053980009,-70224180
437,20210318,KR7054040001,1501545880
438,20210318,KR7054050000,-104458000
439,20210318,KR7054090006,625721930
440,20210318,KR7054180005,-120050795
441,20210318,KR7054210000,345963920
442,20210318,KR7054300009,70078279
443,20210318,KR7054410006,43626000
444,20210318,KR7054450002,-290741950
445,20210318,KR7054540000,613766280
446,20210318,KR7054620000,-306162210
447,20210318,KR7054630009,-135791860
448,20210318,KR7054670005,-38975500
449,20210318,KR7054780002,-641296250
450,20210318,KR7054800008,-14811200
451,20210318,KR7054920004,-18130060
452,20210318,KR7054930003,6883650
453,20210318,KR7054940002,-108920995
454,20210318,KR7054950001,290985900
455,20210318,KR7056080005,-56329480
456,20210318,KR7056090004,9338075
457,20210318,KR7056190002,-512801050
458,20210318,KR7056360001,-14036720
459,20210318,KR7056700008,15940375
460,20210318,KR7057030009,-138336010
461,20210318,KR7057540007,28893155
462,20210318,KR7057680001,74106320
463,20210318,KR7057880007,-1664069285
464,20210318,KR7058110008,539724350
465,20210318,KR7058470006,-1573348500
466,20210318,KR7058610007,-145756160
467,20210318,KR7058630005,-67946810
468,20210318,KR7058820002,-162838180
469,20210318,KR7059090001,-89540950
470,20210318,KR7059100008,18756080
471,20210318,KR7059120006,-14038860
472,20210318,KR7059210005,-30342805
473,20210318,KR7060150000,400662100
474,20210318,KR7060230000,87871505
475,20210318,KR7060240009,-156397450
476,20210318,KR7060250008,826921600
477,20210318,KR7060260007,25076190
478,20210318,KR7060280005,100298320
479,20210318,KR7060310000,-197845
480,20210318,KR7060370004,-45164500
481,20210318,KR7060380003,20660080
482,20210318,KR7060480001,87005970
483,20210318,KR7060540002,79124260
484,20210318,KR7060560000,7993442
485,20210318,KR7060570009,-464733740
486,20210318,KR7060590007,-80842590
487,20210318,KR7060720000,-756137850
488,20210318,KR7060850005,-989750
489,20210318,KR7060900008,19981345
490,20210318,KR7061040002,-191714660
491,20210318,KR7061250007,-413651400
492,20210318,KR7061970000,-298298350
493,20210318,KR7062860002,-18609000
494,20210318,KR7062970009,576540
495,20210318,KR7063080006,-28625550
496,20210318,KR7063170005,-9319250
497,20210318,KR7063440002,345769705
498,20210318,KR7063570006,-304043060
499,20210318,KR7063760003,9312800
500,20210318,KR7064090004,2719396
501,20210318,KR7064240005,108697340
502,20210318,KR7064260003,1213515350
503,20210318,KR7064290000,-27907000
504,20210318,KR7064480007,-21102810
505,20210318,KR7064510001,12366655
506,20210318,KR7064550007,-1438372300
507,20210318,KR7064760002,712267200
508,20210318,KR7064800006,101356780
509,20210318,KR7064820004,80218580
510,20210318,KR7064850001,-243640
511,20210318,KR7065060006,-62032080
512,20210318,KR7065130007,109187320
513,20210318,KR7065170003,20065170
514,20210318,KR7065350001,31247600
515,20210318,KR7065370009,-12714900
516,20210318,KR7065440000,92036425
517,20210318,KR7065450009,3715229490
518,20210318,KR7065500001,-156405195
519,20210318,KR7065510000,-1831810
520,20210318,KR7065530008,-24502910
521,20210318,KR7065570004,170405200
522,20210318,KR7065650004,11390270
523,20210318,KR7065660003,-35046700
524,20210318,KR7065680001,1895975000
