회사명,거래소코드,회계년도,종가
KB KBSTAR 코스피증권상장지수투자신탁(주식),302450,2021/03/31,31410
KB KBSTAR 팔라듐선물인버스특별자산상장지수투자신탁(파생형)(H),334700,2021/03/31,4715
KB KBSTAR 팔라듐선물특별자산상장지수투자신탁(파생형)(H),334690,2021/03/31,15060
KB KBSTAR 헬스케어증권상장지수투자신탁(주식),253280,2021/03/31,16000
KB KBSTAR 헬스케어채권혼합증권상장지수투자신탁(채권혼합),253290,2021/03/31,12395
KB금융지주 보통주,105560,2021/03/31,56200
KB오토시스,024120,2021/03/31,9800
KCTC 보통주,009070,2021/03/31,6430
KD,044180,2021/03/31,1120
KG스틸보통주,016380,2021/03/31,15300
KG케미칼보통주,001390,2021/03/31,27000
KH 필룩스보통주,033180,2021/03/31,3455
KINDEX골드선물레버리지특별자산상장지수투자신탁(금-파생형)(합성 H),225130,2021/03/31,15205
KISCO홀딩스보통주,001940,2021/03/31,17300
KPX케미칼보통주,025000,2021/03/31,63600
KPX홀딩스보통주,092230,2021/03/31,60200
KR모터스보통주,000040,2021/03/31,1315
LF보통주,093050,2021/03/31,16350
LG디스플레이보통주,034220,2021/03/31,22750
LG보통주,003550,2021/03/31,90400
LG생활건강보통주,051900,2021/03/31,1570000
LG유플러스보통주,032640,2021/03/31,12250
LG이노텍보통주,011070,2021/03/31,205500
LG전자보통주,066570,2021/03/31,150000
LG화학보통주,051910,2021/03/31,805000
LIG넥스원보통주,079550,2021/03/31,40150
LS ELECTRIC보통주,010120,2021/03/31,60900
LS네트웍스보통주,000680,2021/03/31,2820
LS보통주,006260,2021/03/31,68500
LX인터내셔널보통주,001120,2021/03/31,31900
MDS테크,086960,2021/03/31,15550
MH에탄올보통주,023150,2021/03/31,8710
NAVER보통주,035420,2021/03/31,377000
NH-Amundi HANARO 200 Total Return증권상장지수투자신탁(주식),332930,2021/03/31,49450
NH-Amundi HANARO 200선물레버리지증권상장지수투자신탁[주식-파생형],304780,2021/03/31,28810
