,종목코드,PER,PBR,EPS,BPS,DIV,DPS
287,134580,0.0,1.34,0,2181,0.0,0
288,039840,25.19,4.07,1483,9174,0.0,0
289,104460,12.91,4.46,2212,6402,1.23,350
290,079810,0.0,5.58,0,1469,0.0,0
291,227100,0.0,2.0,0,4597,0.0,0
292,113810,0.0,1.51,0,597,0.0,0
293,043360,0.0,0.63,0,5064,0.0,0
294,197140,31.68,1.49,185,3932,1.19,70
295,106520,0.0,0.85,0,637,0.0,0
296,068930,10.75,2.22,762,3693,3.66,300
297,033130,34.73,1.54,92,2070,0.94,30
298,105740,12.68,1.19,1029,10995,1.53,200
299,263020,25.07,1.38,365,6629,0.0,0
300,290550,19.57,2.67,966,7085,0.0,0
301,187220,0.0,0.92,0,7738,0.0,0
302,131180,24.26,0.91,74,1964,2.23,40
303,317120,0.0,6.54,0,1873,0.0,0
304,042510,59.7,5.78,66,682,0.0,0
305,300120,25.83,4.2,989,6090,0.59,150
306,050120,0.0,0.77,0,6670,0.0,0
307,171120,14.54,1.47,584,5776,1.77,150
308,069540,19.64,2.05,276,2648,0.0,0
309,347700,0.0,0.0,0,0,0.0,0
310,214260,1480.56,4.65,18,5733,0.0,0
311,171010,22.79,2.34,276,2683,0.0,0
312,084650,184.95,5.89,93,2922,0.0,0
313,217500,39.52,4.59,147,1265,0.43,25
314,033600,0.0,0.18,0,988,0.0,0
315,141080,87.52,11.83,641,4741,0.0,0
316,060300,0.0,5.87,0,312,0.0,0
317,038390,7.95,1.12,2699,19085,3.73,800
318,294140,0.0,14.3,0,623,0.0,0
319,228670,27.05,5.99,1915,8647,0.0,0
320,228850,13.24,1.05,933,11711,2.43,300
321,281740,360.0,1.96,10,1836,0.0,0
322,277810,0.0,36.76,0,623,0.0,0
323,215100,83.17,3.79,63,1383,0.25,13
324,090360,0.0,2.4,0,9889,0.0,0
325,108490,73.98,3.0,221,5454,0.0,0
326,067730,0.0,6.38,0,1676,0.56,60
327,071280,76.25,1.43,80,4274,0.0,0
328,038060,0.0,0.62,0,2482,0.0,0
329,085370,0.0,2.31,0,4417,0.0,0
330,08537M,0.0,0.0,0,0,1.09,151
331,060240,84.48,1.95,67,2898,0.0,0
332,058470,44.91,7.95,3485,19694,0.77,1200
333,039980,0.0,0.69,0,1723,0.0,0
334,019570,0.0,3.04,0,293,0.0,0
335,016100,0.0,2.21,0,1590,0.0,0
336,012700,5.73,0.64,1552,13926,1.69,150
337,302550,28.79,5.66,832,4229,0.0,0
338,029480,0.0,1.73,0,365,0.0,0
339,277070,18.43,1.72,313,3356,1.54,89
340,042500,10.91,1.63,571,3814,0.0,0
341,219420,134.92,2.63,59,3029,0.0,0
342,195500,21.51,2.05,337,3535,0.0,0
343,222810,0.0,5.91,0,91,0.0,0
344,305090,0.0,7.56,0,2453,0.0,0
345,098120,54.43,1.46,106,3942,0.0,0
346,147760,0.0,2.26,0,3801,0.0,0
347,038290,0.0,2.99,0,10686,0.0,0
348,267980,8.81,1.4,8206,51460,1.11,800
349,005990,5.41,0.44,1728,21233,1.5,140
