회사명,거래소코드,회계년도,부채비율,유동비율
(주)비케이홀딩스,050090,2020/12,59.05,261.06
(주)비투엔,307870,2020/12,,
(주)비트나인,357880,2020/12,0,47.58
(주)비트컴퓨터,032850,2020/12,28.67,205.3
(주)비피도,238200,2020/12,14.89,584.26
(주)빅솔론,093190,2020/12,9.76,1089.8
(주)빅텍,065450,2020/12,115.73,140.06
(주)빙그레,005180,2020/12,21.02,262.83
(주)사람인에이치알,143240,2020/12,14.58,464.51
(주)사조대림,003960,2020/12,96.64,115.88
(주)사조오양,006090,2020/12,72.49,115.32
(주)산돌,419120,2020/12,,
(주)삼기,122350,2020/12,195.01,69.15
(주)삼보판지,023600,2020/12,27.47,127.77
(주)삼성출판사,068290,2020/12,20.3,600.71
(주)삼양사,145990,2020/12,82.39,222.2
(주)삼양옵틱스,225190,2020/12,26.15,615.56
(주)삼양패키징,272550,2020/12,83.43,111.88
(주)삼양홀딩스,000070,2020/12,16.9,1018.4
(주)삼에스코리아,060310,2020/03,49.01,137.61
(주)삼영에스앤씨,361670,2020/12,25.62,620.54
(주)삼원강재,023000,2020/12,21.25,330.95
(주)삼익악기,002450,2020/12,106.91,47.1
(주)삼일,032280,2020/12,85.03,60.31
(주)삼일기업공사,002290,2020/12,13.68,820.92
(주)삼일씨엔에스,004440,2020/12,17.68,322.17
(주)삼진,032750,2020/12,18.93,391.44
(주)삼진엘앤디,054090,2020/12,52.77,132.44
(주)삼천리,004690,2020/12,116.61,170.47
(주)삼표시멘트,038500,2020/12,83.24,80.03
(주)삼화네트웍스,046390,2020/12,17.5,1461.64
(주)상보,027580,2020/12,147.87,73.03
(주)상상인,038540,2020/12,10.56,162.87
(주)상상인인더스트리,101000,2020/12,58.27,332.02
(주)상상인증권,001290,2020/12,,
(주)상아프론테크,089980,2020/12,53.94,257.5
(주)상지카일룸,042940,2020/12,76.68,133.49
(주)새로닉스,042600,2020/12,71.07,71.64
(주)새빗켐,107600,2020/12,71.64,139.43
(주)샘씨엔에스,252990,2020/12,90.94,93.01
(주)샤페론,378800,2020/12,0,35.88
(주)서남,294630,2020/12,32.63,450.17
(주)서린바이오사이언스,038070,2020/12,26.38,312.53
(주)서부티엔디,006730,2020/12,180.73,46.9
(주)서산,079650,2020/12,13.73,724.12
(주)서연,007860,2020/12,1.11,1914.12
(주)서연이화,200880,2020/12,84.25,98.9
(주)서연탑메탈,019770,2020/12,82.66,146.64
(주)서울리거,043710,2020/12,57.23,176.68
(주)서울옥션,063170,2020/12,152.63,196.94
(주)서울제약,018680,2020/12,125.59,140.58
(주)서원,021050,2020/12,133,93.49
(주)서원인텍,093920,2020/12,9.7,885.75
(주)서전기전,189860,2020/12,40.24,159.07
(주)서진시스템,178320,2020/12,130.51,137.16
(주)서진오토모티브,122690,2020/12,297.39,36.36
(주)서플러스글로벌,140070,2020/12,62.38,282.77
(주)서한,011370,2020/12,70.96,358.93
(주)서흥,008490,2020/12,74.26,125.26
(주)서희건설,035890,2020/12,92.22,174.47
(주)석경에이티,357550,2020/12,30.47,357.65
(주)선광,003100,2020/12,36.59,72.35
(주)선앤엘,002820,2020/12,108.06,70.65
(주)선익시스템,171090,2020/12,17.3,402.98
(주)선진,136490,2020/12,108.01,71.63
(주)성광벤드,014620,2020/12,7.75,1467.21
(주)성도이엔지,037350,2020/12,74,112.01
(주)성안,011300,2020/12,110.02,50.12
(주)성우하이텍,015750,2020/12,85.82,124.48
(주)성창오토텍,080470,2020/12,113.01,143.58
(주)세경하이테크,148150,2020/12,42.38,283.86
(주)세동,053060,2020/12,0,48.48
(주)세림비앤지,340440,2020/12,,
