,종목코드,PER,PBR,EPS,BPS,DIV,DPS
676,144620,69.18,0.92,55,4123,0.53,20
677,002025,0.0,0.0,0,0,2.32,550
678,120110,11.05,0.95,6098,70954,1.63,1100
679,120115,0.0,0.0,0,0,4.03,1150
680,138490,15.02,1.72,526,4596,1.27,100
681,021240,27.38,5.8,3280,15486,3.56,3200
682,031820,9.56,0.69,113,1558,0.0,0
683,192400,9.7,1.67,8909,51791,3.59,3100
684,284740,0.0,0.0,0,0,0.0,0
685,264900,0.0,0.0,0,0,0.0,0
686,26490K,0.0,0.0,0,0,0.0,0
687,005740,5.77,0.73,2348,18660,1.48,200
688,005745,0.0,0.0,0,0,1.8,205
689,020120,0.0,3.66,0,1060,0.0,0
690,039490,13.33,1.93,8142,56278,0.78,850
691,012170,0.0,1.1,0,522,0.0,0
692,015890,69.05,0.96,84,6047,3.45,200
693,006890,14.33,0.57,329,8244,3.18,150
694,003240,74.0,0.55,16987,2283683,0.14,1750
695,011280,0.0,0.71,0,4390,0.26,8
696,004100,6.04,0.6,268,2680,1.23,20
697,004105,0.0,0.0,0,0,0.75,25
698,009410,10800.0,1.03,1,10477,0.0,0
699,009415,0.0,0.0,0,0,0.0,0
700,001420,21.1,0.96,195,4271,2.43,100
701,007980,0.0,1.26,0,2558,0.0,0
702,055490,13.37,12.76,2053,2152,0.0,0
703,078000,19.88,1.47,800,10850,3.14,500
704,214420,22.98,2.33,731,7205,1.37,230
705,019180,2.53,1.13,886,1991,2.46,55
706,004870,113.73,7.97,51,728,0.0,0
707,134790,966.25,7.17,80,10779,0.0,0
708,005690,0.0,9.69,0,1620,0.0,0
709,036580,16.73,1.57,741,7907,0.81,100
710,028670,28.26,1.09,184,4754,0.0,0
711,010820,0.0,2.43,0,1466,0.0,0
712,016800,12.84,0.98,2445,32013,2.23,700
713,001020,0.0,0.33,0,4444,0.0,0
714,090080,64.57,1.89,46,1573,1.68,50
715,010770,17.99,0.8,417,9406,2.0,150
716,058430,5.15,0.78,5186,34051,3.75,1000
717,047050,23.44,1.04,977,22093,2.18,500
718,007630,0.0,23.15,0,674,0.0,0
719,017810,27.34,2.0,4993,68303,0.75,1020
720,103140,7.99,0.89,4912,43990,1.78,700
721,005810,5.45,0.63,9377,80826,2.74,1400
722,033180,96.92,7.17,211,2852,0.38,78
723,086790,10.35,0.6,4421,75971,2.3,1050
724,039130,165.06,7.36,727,16312,1.25,1500
725,071090,14.18,0.44,1950,62974,0.54,150
726,019490,7.42,0.61,654,7989,0.0,0
727,000080,40.74,1.24,551,18118,4.01,900
728,000087,0.0,0.0,0,0,5.4,950
729,000140,7.63,0.43,1277,22441,2.05,200
730,000145,0.0,0.0,0,0,2.76,250
731,036460,0.0,0.48,0,100460,0.0,0
732,005430,8.3,0.53,5702,88992,1.06,500
733,071050,17.29,1.51,4784,54848,0.97,800
734,071055,0.0,0.0,0,0,2.09,862
735,010040,11.39,0.65,270,4725,0.81,25
736,025540,8.31,0.91,6452,58993,1.31,700
737,004090,5.43,0.47,18349,212575,1.5,1500
738,002960,16.2,4.54,20956,74861,5.6,19000
739,002000,14.99,0.67,2415,53899,2.14,775
740,002005,0.0,0.0,0,0,2.95,825
741,123890,8.02,1.52,762,4032,3.27,200
742,015760,2.99,0.29,10980,111725,6.03,1980
743,006200,0.0,0.34,0,2516,0.0,0
744,002300,6.22,0.23,3658,99905,2.64,600
745,023350,23.25,0.58,280,11178,1.54,100
746,025890,0.0,0.43,0,5544,0.0,0
747,000970,8.9,0.93,1135,10868,1.98,200
748,104700,6.96,0.42,5056,83491,2.56,900
749,017960,15.57,0.87,402,7189,2.08,130
750,161890,31.04,6.11,2516,12790,0.32,250
751,024720,22.01,3.21,2201,15092,0.32,155
752,161390,7.61,1.12,7047,48027,0.75,400
753,000240,6.54,0.62,2852,30138,1.61,300
754,034830,8.5,1.33,350,2230,2.52,75
755,007280,7.7,0.76,324,3266,0.0,0
756,010100,5.22,0.29,2126,38077,2.25,250
757,047810,18.16,3.46,2751,14427,1.36,680
758,123690,18.41,4.83,910,3466,0.0,0
759,003350,15.93,4.35,2653,9711,0.24,100
760,011500,8.37,0.74,573,6492,2.29,110
761,002390,0.0,1.7,0,22302,0.33,125
762,014790,33.28,0.55,122,7329,0.0,0
763,060980,6.98,0.58,7062,85129,2.54,1250
764,053690,10.4,1.07,926,9014,3.12,300
765,042700,19.36,3.42,581,3292,1.78,200
766,008930,720.93,9.13,129,10186,0.0,0
767,128940,248.42,8.82,2057,57966,0.0,0
768,009240,21.9,6.72,7054,23007,0.71,1100
769,020000,12.91,0.93,2571,35743,0.9,300
770,003680,0.0,0.71,0,9684,0.0,0
771,105630,19.06,1.99,1175,11254,1.47,330
772,069640,25.0,0.82,396,12061,2.02,200
773,016450,22.21,1.3,389,6623,1.85,160
774,010420,43.39,0.83,31,1618,1.12,15
775,009180,10.84,0.9,221,2672,0.84,20
776,213500,6.71,0.74,2370,21417,4.4,700
777,014680,14.04,2.83,5034,24998,1.41,1000
778,004710,0.0,1.35,0,9241,0.0,0
779,004150,0.0,0.41,0,11303,0.0,0
780,025750,15.71,0.83,98,1846,0.0,0
781,004960,7.62,0.78,2652,25846,1.24,250
782,011700,17.14,1.48,206,2382,1.84,65
783,001750,14.48,0.38,529,20241,4.57,350
784,001755,0.0,0.0,0,0,4.73,400
785,018880,20.93,3.34,547,3424,1.97,225
786,009420,810.0,16.22,40,1998,0.0,0
787,014130,14.38,1.38,4568,47638,1.07,700
788,003300,9.53,0.56,11653,196749,1.44,1600
789,002220,8.55,0.34,2964,75549,1.38,350
790,051600,23.19,2.59,1962,17550,1.49,680
791,052690,66.77,2.83,468,11039,0.35,110
792,130660,8.8,1.78,405,2008,6.12,218
793,002320,7.01,0.37,3352,63079,1.7,400
794,097230,0.0,0.37,0,8448,0.0,0
795,003480,0.0,0.25,0,14433,0.0,0
796,180640,0.0,1.25,0,16777,0.0,0
797,18064K,0.0,0.0,0,0,0.0,0
798,005110,16.05,1.8,129,1148,1.01,21
799,009460,3.82,1.05,271,984,0.0,0
800,000880,5.72,0.87,6848,45022,1.53,600
801,00088K,0.0,0.0,0,0,4.07,680
802,027390,0.0,1.09,0,40978,0.0,0
803,088350,5.85,0.63,1058,9820,1.29,80
804,000370,7.14,0.9,1204,9541,1.16,100
805,000885,0.0,0.0,0,0,3.27,650
806,009830,6.47,0.94,4604,31850,1.17,350
807,009835,0.0,0.0,0,0,2.7,400
808,012450,4.56,0.67,6498,44025,0.0,0
809,003530,0.0,0.67,0,4589,0.0,0
810,003535,0.0,0.0,0,0,0.0,0
811,195870,16.89,2.09,1175,9477,1.26,250
812,101530,12.27,1.52,1222,9839,1.0,150
813,143210,4.59,0.69,2108,13935,1.86,180
814,089470,4.06,0.78,1603,8309,2.15,140
815,000720,9.93,0.77,4403,56944,1.14,500
816,267270,0.0,0.0,0,0,0.0,0
817,000725,0.0,0.0,0,0,1.12,550
818,005440,12.88,0.91,1087,15451,0.43,60
819,086280,12.53,1.82,13483,92725,1.78,3000
820,267250,0.0,0.0,0,0,0.0,0
821,064350,61.48,0.96,257,16376,0.0,0
822,079430,12.95,1.59,1969,16071,0.31,80
823,012330,7.46,0.82,32091,292708,1.46,3500
824,010620,57.67,0.93,1734,107123,0.0,0
825,069960,7.65,0.59,12101,157840,0.76,700
826,004560,7.81,0.49,1440,22859,0.89,100
827,004565,0.0,0.0,0,0,0.35,150
828,012630,9.23,1.11,4168,34781,1.82,700
829,011760,30.22,0.56,604,32657,2.74,500
830,011200,0.0,0.9,0,4841,0.0,0
831,006390,0.0,1.69,0,8533,0.0,0
832,004310,132.75,1.95,51,3477,0.69,47
833,126560,10.72,0.79,412,5567,0.91,40
834,017800,15.25,2.52,5225,31605,0.63,500
835,011210,11.24,0.46,4922,119823,1.99,1100
836,267260,0.0,0.0,0,0,0.0,0
837,004020,8.16,0.42,6253,120427,1.47,750
838,009540,17.82,0.75,7407,177140,0.0,0
839,005380,7.13,0.61,20118,235358,2.79,4000
840,005387,0.0,0.0,0,0,4.4,4100
841,005389,0.0,0.0,0,0,4.99,4050
842,005385,0.0,0.0,0,0,4.74,4050
843,001500,7.78,0.38,1356,27822,3.79,400
844,227840,19.97,0.68,706,20595,2.84,400
