,종목코드,종목명,PER,PBR,시가총액
236,035290,더블유에프엠,0.0,26.1,47272.0
237,213420,덕산네오룩스,56.7,6.79,1086453.0
238,317330,덕산테코피아,28.52,2.51,364792.0
239,077360,덕산하이메탈,21.31,1.35,272622.0
240,090410,덕신하우징,37.18,0.8,66822.0
241,263600,덕우전자,14.89,1.48,131903.0
242,194480,데브시스터즈,0.0,12.51,1290803.0
243,263800,데이타솔루션,0.0,3.55,91576.0
244,206560,덱스터,0.0,3.58,203292.0
245,261200,덴티스,0.0,0.0,155696.0
246,067990,도이치모터스,3.47,0.81,205485.0
247,006620,동구바이오제약,20.52,3.64,105644.0
248,100130,동국S&C,39.65,1.48,387430.0
249,005160,동국산업,13.69,0.51,195280.0
250,075970,동국알앤에스,40.79,1.4,105064.0
251,086450,동국제약,21.82,3.49,1244880.0
252,099410,동방선기,0.0,0.85,24374.0
253,033500,동성화인텍,21.85,3.94,380785.0
254,025950,동신건설,421.5,4.06,354060.0
255,088130,동아엘텍,8.25,0.59,97779.0
256,041930,동아화성,17.69,1.77,191180.0
257,060380,동양에스텍,24.75,0.96,49250.0
258,079960,동양이엔피,5.53,0.63,137157.0
259,228340,동양파일,0.0,1.16,142000.0
260,088910,동우팜투테이블,33.58,0.47,88474.0
261,094170,동운아나텍,21.97,7.35,178592.0
262,013120,동원개발,5.79,0.64,490364.0
263,109860,동일금속,5.08,0.69,86100.0
264,032960,동일기연,15.73,0.9,45658.0
265,023790,동일철강,8.87,0.73,39810.0
266,005290,동진쎄미켐,28.65,4.7,1676113.0
267,025900,동화기업,31.09,1.87,992888.0
268,073190,듀오백,0.0,1.77,48530.0
269,030350,드래곤플라이,0.0,2.88,38064.0
270,203650,드림시큐리티,62.32,3.38,217605.0
271,223250,드림씨아이에스,17.25,6.66,99608.0
272,060570,드림어스컴퍼니,0.0,3.13,369589.0
273,217620,디딤,54.62,2.4,78915.0
274,187870,디바이스이엔지,54.23,4.18,266336.0
275,066670,디스플레이텍,15.49,0.61,91497.0
276,110990,디아이티,12.95,1.01,174447.0
277,263690,디알젬,26.7,4.51,146667.0
278,214680,디알텍,77.0,2.02,79745.0
279,263720,디앤씨미디어,91.46,10.92,453565.0
280,109740,디에스케이,21.14,1.18,132510.0
281,033430,디에스티,0.0,5.78,24762.0
282,131030,디에이치피코리아,8.88,1.22,131524.0
283,196490,디에이테크놀로지,0.0,1.06,142840.0
284,066900,디에이피,84.07,1.03,103260.0
285,127120,디엔에이링크,0.0,5.56,74263.0
286,092070,디엔에프,100.91,2.65,238913.0
287,134580,디엠티,0.0,1.34,32850.0
288,039840,디오,25.19,4.07,579807.0
289,104460,디와이피엔에프,12.91,4.46,305874.0
290,079810,디이엔티,0.0,5.58,106772.0
291,227100,디자인,0.0,2.0,31296.0
292,113810,디젠스,0.0,1.51,29365.0
293,043360,디지아이,0.0,0.63,28710.0
294,197140,디지캡,31.68,1.49,43419.0
295,106520,디지탈옵틱,0.0,0.85,68409.0
296,068930,디지털대성,10.75,2.22,242891.0
297,033130,디지틀조선,34.73,1.54,118583.0
298,105740,디케이락,12.68,1.19,110271.0
299,263020,디케이앤디,25.07,1.38,71033.0
300,290550,디케이티,19.57,2.67,155572.0
301,187220,디티앤씨,0.0,0.92,80267.0
302,131180,딜리,24.26,0.91,52683.0
303,317120,라닉스,0.0,6.54,117545.0
304,042510,라온시큐어,59.7,5.78,149420.0
305,300120,라온피플,25.83,4.2,268210.0
306,050120,라이브플렉스,0.0,0.77,69448.0
307,171120,라이온켐텍,14.54,1.47,160406.0
308,069540,라이트론,19.64,2.05,125605.0
309,347700,라이프시맨틱스,0.0,0.0,137366.0
310,214260,라파스,1480.56,4.65,224684.0
311,171010,램테크놀러지,22.79,2.34,73008.0
312,084650,랩지노믹스,184.95,5.89,196942.0
313,217500,러셀,39.52,4.59,184828.0
314,033600,럭슬,0.0,0.18,9456.0
315,141080,레고켐바이오,87.52,11.83,1352899.0
316,060300,레드로버,0.0,5.87,48766.0
317,038390,레드캡투어,7.95,1.12,184244.0
318,294140,레몬,0.0,14.3,329670.0
319,228670,레이,27.05,5.99,344639.0
320,228850,레이언스,13.24,1.05,204899.0
321,281740,레이크머티리얼즈,360.0,1.96,236630.0
322,277810,레인보우로보틱스,0.0,36.76,363428.0
323,215100,로보로보,83.17,3.79,93264.0
324,090360,로보스타,0.0,2.4,231075.0
325,108490,로보티즈,73.98,3.0,183954.0
326,067730,로지시스,0.0,6.38,103511.0
327,071280,로체시스템즈,76.25,1.43,93309.0
328,038060,루멘스,0.0,0.62,73838.0
329,085370,루트로닉,0.0,2.31,263749.0
330,08537M,루트로닉3우C,0.0,0.0,7762.0
331,060240,룽투코리아,84.48,1.95,143930.0
332,058470,리노공업,44.91,7.95,2385431.0
333,039980,리노스,0.0,0.69,49641.0
334,019570,리더스 기술투자,0.0,3.04,87275.0
335,016100,리더스코스메틱,0.0,2.21,64496.0
336,012700,리드코프,5.73,0.64,235371.0
337,302550,리메드,28.79,5.66,145830.0
338,029480,릭스솔루션,0.0,1.73,50349.0
339,277070,린드먼아시아,18.43,1.72,77895.0
340,042500,링네트,10.91,1.63,95673.0
341,219420,링크제니시스,134.92,2.63,79600.0
342,195500,마니커에프앤지,21.51,2.05,78068.0
343,222810,마이더스AI,0.0,5.91,64588.0
344,305090,마이크로디지탈,0.0,7.56,134703.0
345,098120,마이크로컨텍솔,54.43,1.46,47965.0
346,147760,마이크로프랜드,0.0,2.26,93051.0
347,038290,마크로젠,0.0,2.99,340351.0
348,267980,매일유업,8.81,1.4,567095.0
349,005990,매일홀딩스,5.41,0.44,128266.0
350,127160,매직마이크로,0.0,0.31,22816.0
351,093520,매커스,14.62,1.65,86957.0
352,141070,맥스로텍,0.0,0.77,26670.0
353,100590,머큐리,64.56,2.12,150589.0
354,067280,멀티캠퍼스,10.25,1.75,192028.0
355,072870,메가스터디,11.37,0.54,144840.0
356,215200,메가스터디교육,14.65,2.83,700062.0
357,133750,메가엠디,215.53,1.65,95852.0
358,235980,메드팩토,0.0,22.81,1811146.0
359,041920,메디아나,18.32,2.19,124567.0
360,014100,메디앙스,1.88,0.9,73160.0
361,054180,메디콕스,0.0,2.15,64765.0
362,086900,메디톡스,43.94,4.76,1127347.0
363,078160,메디포스트,0.0,4.84,561928.0
364,065650,메디프론,0.0,5.97,149539.0
365,021880,메이슨캐피탈,0.0,2.04,63379.0
366,140410,메지온,0.0,30.77,1346356.0
367,241770,메카로,14.69,0.88,123752.0
368,059210,메타바이오메드,17.48,1.12,59656.0
369,327260,메탈라이프,57.4,3.51,93511.0
370,058110,멕아이씨에스,0.0,35.75,209459.0
371,096640,멜파스,0.0,1.56,69907.0
372,257370,명성티엔에스,116.58,1.53,59320.0
373,080420,모다이노칩,47.14,0.84,289389.0
374,080160,모두투어,218.81,3.37,417690.0
375,100030,모바일리더,0.0,2.41,75197.0
376,087260,모바일어플라이언스,0.0,4.95,151275.0
377,101330,모베이스,2.89,0.5,134405.0
378,012860,모베이스전자,0.0,0.67,184245.0
379,348030,모비릭스,24.4,6.05,189336.0
380,250060,모비스,0.0,3.54,91688.0
381,033200,모아텍,0.0,1.9,140446.0
382,118990,모트렉스,0.0,1.91,231276.0
383,006920,모헨즈,107.2,2.59,58531.0
384,001810,무림SP,61.07,0.4,82462.0
385,279600,미디어젠,0.0,2.99,54036.0
386,028040,미래SCI,0.0,0.74,12549.0
387,095500,미래나노텍,98.41,0.65,116477.0
388,218150,미래생명자원,90.0,3.29,97465.0
389,353490,미래에셋대우스팩 5호,0.0,0.0,10854.0
390,328380,미래에셋대우스팩3호,0.0,0.0,13547.0
391,333430,미래에셋대우스팩4호,0.0,0.0,14202.0
392,100790,미래에셋벤처투자,28.23,2.62,403820.0
393,049950,미래컴퍼니,20.11,2.41,272193.0
394,213090,미래테크놀로지,15.29,0.91,51843.0
395,207760,미스터블루,20.81,5.89,255045.0
396,059090,미코,55.21,4.84,447827.0
397,214610,미코바이오메드,0.0,129.75,187189.0
398,201490,미투온,19.24,3.04,214116.0
399,214180,민앤지,12.5,1.84,213253.0
400,206640,바디텍메드,33.43,5.41,398097.0
401,018700,바른손,0.0,1.99,97256.0
402,035620,바른손이앤에이,0.0,1.42,112437.0
403,064520,바른전자,0.0,1.57,74055.0
404,053030,바이넥스,93.59,5.05,811495.0
405,301300,바이브컴퍼니,0.0,8.95,152385.0
406,064550,바이오니아,0.0,11.96,407139.0
407,314930,바이오다인,0.0,37.99,308930.0
408,208710,바이오로그디바이스,11.8,1.33,75893.0
409,142760,바이오리더스,0.0,4.07,134868.0
410,086820,바이오솔루션,0.0,4.44,214827.0
411,038460,바이오스마트,4.89,1.03,108876.0
412,086040,바이오톡스텍,0.0,4.93,149176.0
413,032980,바이온,0.0,2.29,90725.0
414,043150,바텍,13.35,1.82,452312.0
415,323990,박셀바이오,0.0,160.69,1685152.0
416,267790,배럴,11.11,1.68,77357.0
417,046310,백금T&A,27.14,1.22,53032.0
418,036620,버추얼텍,0.0,3.01,59781.0
419,066410,버킷스튜디오,0.0,1.4,77064.0
420,206400,베노홀딩스,50.77,3.26,148219.0
421,019010,베뉴지,21.63,0.36,92785.0
422,177350,베셀,0.0,3.54,69057.0
423,299910,베스파,0.0,2.76,233272.0
424,225530,보광산업,38.74,3.59,246377.0
425,250000,보라티알,31.31,1.93,106324.0
426,006910,보성파워텍,140.83,1.45,116795.0
427,226340,본느,20.06,3.05,103458.0
428,014470,부방,0.0,1.48,270836.0
429,008470,부스타,15.12,0.72,52866.0
430,338220,뷰노,0.0,39.34,260522.0
431,100120,뷰웍스,14.67,2.23,360567.0
432,337930,브랜드엑스코퍼레이션,21.23,13.38,217318.0
433,064480,브리지텍,0.0,1.55,51157.0
434,288330,브릿지바이오테라퓨틱스,93.66,3.31,259997.0
435,251630,브이원텍,23.64,1.93,157279.0
436,018290,브이티지엠피,79.13,5.17,278400.0
437,263920,블러썸엠앤씨,0.0,0.69,62509.0
438,033560,블루콤,74.75,0.82,136565.0
439,126340,비나텍,42.21,10.27,212471.0
440,121800,비덴트,0.0,1.87,625731.0
441,148140,비디아이,0.0,2.77,146122.0
442,082800,비보존 헬스케어,0.0,1.69,243624.0
443,318410,비비씨,9.91,2.99,104831.0
444,200780,비씨월드제약,23.2,1.52,148947.0
445,141000,비아트론,28.28,1.02,135685.0
446,090460,비에이치,9.32,2.1,600835.0
447,083650,비에이치아이,0.0,1.55,108420.0
448,086670,비엠티,19.59,1.5,105498.0
449,335890,비올,0.0,0.0,119333.0
450,138580,비즈니스온,49.13,5.81,258245.0
451,082920,비츠로셀,15.76,2.25,317702.0
452,054220,비츠로시스,0.0,0.0,127851.0
453,042370,비츠로테크,13.4,1.44,242769.0
454,032850,비트컴퓨터,20.97,3.06,150275.0
455,238200,비피도,64.21,2.2,101637.0
456,093190,빅솔론,8.81,0.65,95810.0
457,065450,빅텍,98.83,5.01,218048.0
458,072950,빛샘전자,20.6,0.74,42744.0
459,143240,사람인에이치알,15.21,3.69,410406.0
460,100090,삼강엠앤티,0.0,4.43,760309.0
461,122350,삼기,74.91,1.08,152208.0
462,014970,삼륭물산,200.25,1.68,121151.0
463,018310,삼목에스폼,12.46,0.59,203595.0
464,053700,삼보모터스,0.0,0.58,119763.0
465,009620,삼보산업,0.0,1.87,46663.0
466,023600,삼보판지,8.52,0.69,245784.0
467,111870,삼본전자,0.0,0.67,120170.0
468,291230,삼성스팩2호,0.0,0.0,16459.0
469,009300,삼아제약,8.83,0.56,93958.0
470,225190,삼양옵틱스,7.24,2.51,98707.0
471,054540,삼영엠텍,19.85,0.91,70460.0
472,065570,삼영이엔씨,0.0,0.97,79756.0
473,032280,삼일,10.7,0.57,36967.0
474,002290,삼일기업공사,18.79,1.05,61752.0
475,037460,삼지전자,15.13,1.09,220300.0
476,032750,삼진,5.65,0.89,68400.0
477,054090,삼진엘앤디,158.33,1.03,94845.0
478,000250,삼천당제약,104.51,7.14,1161170.0
479,024950,삼천리자전거,0.0,2.2,175211.0
480,038500,삼표시멘트,33.41,0.98,620524.0
481,017480,삼현철강,12.19,0.54,81184.0
482,046390,삼화네트웍스,280.56,6.23,218023.0
483,027580,상보,0.0,2.91,85912.0
484,038540,상상인,2.9,0.7,366273.0
485,307870,상상인이안1호스팩,0.0,0.0,10070.0
486,329560,상상인이안제2호스팩,0.0,0.0,7854.0
487,101000,상상인인더스트리,0.0,2.58,65479.0
488,091580,상신이디피,34.47,2.67,174665.0
489,263810,상신전자,27.56,2.0,69087.0
490,089980,상아프론테크,62.59,5.61,828695.0
491,042940,상지카일룸,0.0,1.31,81263.0
492,042600,새로닉스,0.0,1.67,134175.0
493,263540,샘코,0.0,1.83,40129.0
494,294630,서남,0.0,9.33,68702.0
495,038070,서린바이오,11.02,1.69,97608.0
496,006730,서부T&D,7850.0,0.69,456402.0
497,079650,서산,0.0,0.76,53600.0
498,100660,서암기계공업,35.43,1.25,77238.0
499,019770,서연탑메탈,0.0,2.29,149703.0
500,043710,서울리거,0.0,0.58,36167.0
501,092190,서울바이오시스,106.8,3.56,600111.0
502,046890,서울반도체,30.78,1.63,1078650.0
503,063170,서울옥션,0.0,4.24,290981.0
504,027040,서울전자통신,14.9,0.65,61169.0
505,018680,서울제약,314.64,1.48,75101.0
506,093920,서원인텍,11.62,0.9,145266.0
507,189860,서전기전,29.71,1.05,39765.0
508,178320,서진시스템,17.34,3.2,843491.0
509,122690,서진오토모티브,0.0,0.66,56181.0
510,140070,서플러스글로벌,117.95,1.56,191968.0
511,011370,서한,16.28,0.53,160927.0
512,065710,서호전기,7.17,1.47,109953.0
513,035890,서희건설,4.92,0.89,374588.0
514,357550,석경에이티,80.88,8.94,110737.0
515,003100,선광,35.44,0.64,194370.0
516,123420,선데이토즈,69.18,1.54,210537.0
517,171090,선익시스템,18.46,1.52,137689.0
518,086710,선진뷰티사이언스,16.34,3.5,126900.0
519,014620,성광벤드,37.06,0.53,234234.0
520,037350,성도이엔지,0.0,0.65,90964.0
521,081580,성우전자,0.0,0.48,48851.0
522,045300,성우테크론,10.83,1.01,50132.0
523,015750,성우하이텍,12.42,0.45,488800.0
524,080470,성창오토텍,0.0,1.81,68693.0
525,043260,성호전자,0.0,1.61,99334.0
526,148150,세경하이테크,10.75,1.8,249139.0
527,053060,세동,0.0,1.44,31481.0
528,017510,세명전기,19.64,0.94,67082.0
529,214310,세미콘라이트,0.0,0.87,54165.0
530,011560,세보엠이씨,0.0,0.46,68340.0
531,100700,세운메디칼,22.08,2.22,211773.0
532,234100,세원,93.77,4.0,202229.0
533,024830,세원물산,3.99,0.28,52438.0
534,258830,세종메디칼,20.67,1.58,72861.0
535,036630,세종텔레콤,223.25,1.6,536091.0
536,039310,세중,20.93,0.58,46663.0
537,067770,세진티에스,0.0,1.16,43410.0
538,053450,세코닉스,0.0,0.7,92709.0
539,234340,세틀뱅크,22.14,2.72,306166.0
540,252500,세화피앤씨,129.5,3.09,80587.0
541,347000,센코,0.0,11.97,190785.0
542,051980,센트럴바이오,0.0,5.36,169473.0
543,331920,셀레믹스,0.0,24.81,160897.0
544,049180,셀루메드,0.0,30.99,260653.0
545,299660,셀리드,0.0,7.51,390372.0
546,268600,셀리버리,0.0,73.07,2087202.0
547,108860,셀바스AI,0.0,2.41,73446.0
548,208370,셀바스헬스케어,0.0,2.26,54527.0
549,068760,셀트리온제약,635.59,19.55,5371703.0
550,091990,셀트리온헬스케어,318.5,12.57,20668075.0
551,290690,소룩스,21.71,6.2,167614.0
552,053110,소리바다,0.0,0.83,27666.0
553,032680,소프트센,0.0,1.84,64218.0
554,032685,소프트센우,0.0,0.0,3593.0
555,258790,소프트캠프,127.88,8.29,83096.0
556,066910,손오공,0.0,2.95,72216.0
557,043100,솔고바이오,0.0,0.69,22642.0
558,154040,솔루에타,0.0,0.84,53803.0
559,035610,솔본,124.49,1.89,265530.0
560,357780,솔브레인,0.0,0.0,2253451.0
561,036830,솔브레인홀딩스,6.36,0.93,888876.0
562,304100,솔트룩스,126.1,3.45,159541.0
563,086980,쇼박스,93.75,2.17,305175.0
564,050960,수산아이앤티,72.56,2.77,210631.0
565,084180,수성,0.0,1.77,44233.0
