,종목코드,코스피 일별변동 표준편차,연간 수익률,1년_만기_국채수익률,코스피 샤프지수
493,014990,3.5676449232471943,-2.272727272727273,0.984,-0.9128507300449253
494,015020,4.719668532202276,166.19964973730296,0.984,35.005773945783986
495,015230,2.3625571619608055,116.71018276762402,0.984,48.98344244571717
496,015260,4.485286206817375,-6.149903907751442,0.984,-1.5905125289236441
497,015360,1.2506544571318086,14.237288135593221,0.984,10.597082239636103
498,015540,5.906267363775348,12.456140350877194,0.984,1.9423672590981524
499,015590,2.6166152170984236,12.609457092819614,0.984,4.442937202555573
500,015760,2.2492951123980047,21.842105263157897,0.984,9.273174137172592
501,015860,3.596467500324163,87.68656716417911,0.984,24.10770211502378
502,015890,2.4292926736543388,100.5044136191677,0.984,40.96682738085282
503,016090,2.1115561248816466,39.318885448916404,0.984,18.15480298969798
504,016360,2.2702528607891757,44.77064220183487,0.984,19.287121253362912
505,016380,5.149797291992297,124.01171303074669,0.984,23.88981663842366
506,016450,3.6266370000531363,85.37682789651294,0.984,23.270271575367605
507,016580,2.232057796624862,26.76056338028169,0.984,11.548340468270549
508,016590,2.0990715791874286,55.047619047619044,0.984,25.755967344642723
509,016610,2.4326240939975357,110.43478260869566,0.984,44.99288767169735
510,016710,1.844485191294541,220.99447513812157,0.984,119.2801526282293
511,016740,3.9343533365765695,131.1512415349887,0.984,33.08478685044902
512,016800,0.7714579214983799,7.078039927404718,0.984,7.899380844477486
513,016880,3.6630028014577607,195.43147208121826,0.984,53.08417236367775
514,017040,2.553359342946059,67.59581881533101,0.984,26.08791394730774
515,017180,5.136772798862435,13.512333551626282,0.984,2.4389502986000755
516,017370,3.596125236366948,63.84180790960452,0.984,17.479315590551508
517,017390,2.7023633976755512,43.225806451612904,0.984,15.631430801626221
518,017550,4.729367107732329,262.9032258064516,0.984,55.38145376327923
519,017670,1.8449251809504286,57.140491488375176,0.984,30.438357104240776
520,017800,2.772614275251827,26.70834947158745,0.984,9.278012344234575
521,017810,2.5356180101714094,77.60416666666666,0.984,30.217551050399383
522,017900,3.3744524839764374,68.43971631205675,0.984,19.990121844171675
523,017940,1.9586794459873642,54.87364620938629,0.984,27.513254565358796
524,017960,2.9653485481034356,124.04371584699454,0.984,41.49924160709558
525,018250,2.027567887297875,9.734513274336283,0.984,4.315768329709556
526,018260,2.3788228442135217,37.234042553191486,0.984,15.238647401326915
527,018470,2.6678588206794256,23.70689655172414,0.984,8.517278491497269
528,018500,3.8474213022054156,142.85714285714286,0.984,36.87486545230138
529,018670,2.6384725495544123,66.14664586583463,0.984,24.69710965036925
530,018880,3.239485592088995,107.40305522914217,0.984,32.85060303679802
531,019170,8.347335440469385,600.4115226337449,0.984,71.81064267857408
532,019175,9.448307149036287,436.27760252365937,0.984,46.071068145584015
533,019180,3.6788931324102068,36.344086021505376,0.984,9.611610000299033
534,019440,1.5231630383110577,47.81216648879402,0.984,30.744027599776125
535,019490,5.052628262118912,258.5185185185185,0.984,50.97040691660081
536,019680,2.013294933494459,-11.62551440329218,0.984,-6.263123297790231
537,019685,1.4637314603501983,10.0418410041841,0.984,6.188184957107507
538,020000,2.880715848844817,103.0,0.984,35.41341991120331
539,020120,4.5333694208987145,245.20884520884522,0.984,53.872698766391075
540,020150,2.6169773309374347,120.097244732577,0.984,45.515581401658196
541,020560,3.763063476429941,4.375732888971178,0.984,0.9013222631548462
542,020760,3.443802626579174,90.45499505440159,0.984,25.980291194352112
543,021050,4.091617113082353,-18.0327868852459,0.984,-4.64774351061405
544,021240,2.4313202722740366,18.65942028985507,0.984,7.269885621988864
545,021820,0.0,0.0,0.984,-inf
546,023000,3.0342588953931062,94.5945945945946,0.984,30.85122193650743
547,023150,4.199675677020145,8.198757763975156,0.984,1.717932125914624
548,023350,3.0740394665653263,83.81201044386422,0.984,26.94435492606388
549,023450,2.27983301695716,112.5,0.984,48.9141086959245
550,023530,2.636301810682609,76.96629213483146,0.984,28.82154532798262
551,023590,3.0347680532760317,85.27397260273972,0.984,27.774766019349883
552,023800,5.147280848115932,367.741935483871,0.984,71.25275389201195
553,023810,2.8710777828062675,129.66666666666666,0.984,44.82033452290826
554,023960,6.130321214438889,348.5294117647059,0.984,56.6928550083353
555,024070,3.3485746135159125,88.5204081632653,0.984,26.141393956085228
556,024090,1.6007597541436862,76.0,0.984,46.862747395925894
557,024110,1.8393542498755628,27.932960893854748,0.984,14.651316295204099
558,024720,3.2556529744613507,62.42937853107344,0.984,18.873442290402465
559,024890,3.4215768909830846,169.96966632962588,0.984,49.388241654003295
560,024900,5.275805773592945,277.8833107191316,0.984,52.4847431088345
561,025000,1.9371591800800942,46.71280276816609,0.984,23.606115201268786
562,025530,1.4764695678605362,55.483870967741936,0.984,36.91228871497463
563,025540,3.8113913127278978,187.82435129740517,0.984,49.021560886037534
564,025560,2.871603447194248,-36.902582479647876,0.984,-13.193528694453144
565,025620,3.254129719816142,-22.393584207279456,0.984,-7.183974278874256
566,025750,4.599163485675948,205.88235294117646,0.984,44.551221886182226
567,025820,3.75610571524946,172.33009708737862,0.984,45.61801772291138
568,025860,2.1520497171175816,34.93253373313343,0.984,15.774976508722816
569,025890,3.1922357340764305,54.58333333333333,0.984,16.790531088030864
570,026890,5.1239985543214255,94.48698315467074,0.984,18.248050260633494
571,026940,3.2795822413066427,10.756972111553784,0.984,2.979944210107706
572,026960,2.9467446379951174,104.8076923076923,0.984,35.23335241506744
573,027410,2.591483408588184,91.00817438692098,0.984,34.73847221578985
574,027740,2.1519316150009637,2.7706369608683232,0.984,0.830248019227843
575,027970,2.778212869804628,27.88398154251813,0.984,9.682476758668898
576,028050,2.5643211882886527,41.843971631205676,0.984,15.93403034604816
577,028100,2.7608602404728075,44.140625,0.984,15.631586259726522
578,028260,2.5373899462401397,46.64310954063604,0.984,17.994518189170297
579,02826K,3.485800899943684,88.18897637795276,0.984,25.017199456045134
580,028670,3.4158865333149646,121.14695340501794,0.984,35.1776770782855
581,029460,2.6502503118024965,118.0,0.984,44.15281057750908
582,029530,2.1187742898068667,34.831460674157306,0.984,15.975019536999675
583,029780,1.6929857091440168,23.035714285714285,0.984,13.025339887165234
584,030000,2.2633908799801077,38.88888888888889,0.984,16.746947787128146
585,030200,1.4969515058595282,45.99483204134367,0.984,30.068330113004624
586,030210,3.014533269525919,148.8372093023256,0.984,49.04679964788637
587,030610,1.8959828226230353,37.45644599303136,0.984,19.23669642880668
588,030720,1.9127653290275315,11.237373737373737,0.984,5.360497485902598
