회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원)
(주)메디프론디비티,065650,2020/12,31414836
(주)메지온,140410,2020/12,28634181
(주)메카로,241770,2020/12,71443494
(주)메타랩스,090370,2020/12,23795590
(주)메타바이오메드,059210,2020/12,41840591
(주)멕아이씨에스,058110,2020/12,64051626
(주)멜파스,096640,2020/12,50235710
(주)모나리자,012690,2020/12,117130876
(주)모나미,005360,2020/12,93093344
(주)모다이노칩,080420,2020/12,136405449
(주)모두투어네트워크,080160,2020/12,42691971
(주)모베이스,101330,2020/12,15785013
(주)모베이스전자,012860,2020/12,607684483
(주)모비데이즈,363260,2020/12,
(주)모비릭스,348030,2020/12,43726832
(주)모비스,250060,2020/12,771870
(주)모아데이타,288980,2020/12,13785094
(주)모아텍,033200,2021/03,26307393
(주)모토닉,009680,2020/12,178557667
(주)모헨즈,006920,2020/12,31728551
(주)무학,033920,2020/12,136005294
(주)미래생명자원,218150,2020/12,32095122
(주)미래아이앤지,007120,2020/12,5772566
(주)미래컴퍼니,049950,2020/12,54225570
(주)미코,059090,2020/12,46650153
(주)미코바이오메드,214610,2020/12,45721879
(주)미투온,201490,2020/12,17080207
(주)바른손이앤에이,035620,2020/12,11461637
(주)바른전자,064520,2020/12,22919822
(주)바이넥스,053030,2020/12,132968914
(주)바이브컴퍼니,301300,2020/12,25571167
(주)바이오니아,064550,2020/12,158174270
(주)바이오다인,314930,2020/12,3670995
(주)바이오로그디바이스,208710,2020/12,73370441
(주)바이오솔루션,086820,2020/12,7744193
(주)바이오스마트,038460,2020/12,60085793
(주)바이오에프디엔씨,251120,2020/12,8639743
(주)바이오톡스텍,086040,2020/12,25403842
(주)바텍,043150,2020/12,153217922
(주)박셀바이오,323990,2020/12,0
(주)배럴,267790,2020/12,25895651
(주)백금티앤에이,046310,2020/12,50621799
(주)백산,035150,2020/12,204721912
(주)버킷스튜디오,066410,2020/12,23256432
(주)베노홀딩스,206400,2020/12,9431130
(주)베셀,177350,2020/12,68728264
(주)베스파,299910,2020/12,66101055
(주)벽산,007210,2020/12,268645240
(주)보광산업,225530,2020/12,56898164
(주)보라티알,250000,2020/12,44163797
(주)보락,002760,2020/12,38292697
(주)보령,003850,2020/12,541445422
(주)본느,226340,2020/12,24435448
(주)부-스타,008470,2020/12,100596491
(주)부방,014470,2020/12,4886124
(주)뷰노,338220,2020/12,1257219
(주)뷰웍스,100120,2020/12,147531395
(주)브랜드엑스코퍼레이션,337930,2020/12,120908210
(주)브리지텍,064480,2020/12,44325950
(주)브이씨,365900,2020/12,35363581
(주)브이원텍,251630,2020/12,30444728
(주)브이티지엠피,018290,2020/12,105877069
(주)블루베리엔에프티,044480,2020/12,11798511
(주)블루콤,033560,2020/12,54244802
(주)블리츠웨이,369370,2020/12,
(주)비덴트,121800,2020/12,10707277
(주)비보존헬스케어,082800,2020/12,28164870
(주)비비안,002070,2020/12,165673919
(주)비상교육,100220,2020/12,142791259
(주)비스토스,419540,2020/12,17969435
(주)비씨월드제약,200780,2020/12,57425318
(주)비아트론,141000,2020/12,91302070
(주)비에이치,090460,2020/12,323300322
(주)비엔지티,032790,2020/12,13982082
(주)비엘,142760,2020/12,15527031
(주)비엘팜텍,065170,2020/12,28316168
