종목코드,종목명,종가,등락률,거래량,거래대금,시가총액,상장주식수
84695,대상홀딩스우,8400,2.82,7350,60558600,7673248800,913482
128820,대성산업,4410,1.73,241198,1059698055,1.99488E+11,45235478
117580,대성에너지,5390,0.37,22691,122113160,1.48225E+11,27500000
16710,대성홀딩스,29050,1.93,55073,1588793400,4.67399E+11,16089459
3540,대신증권,16250,2.52,397994,6490848300,8.25068E+11,50773400
3547,대신증권2우B,13600,5.43,84955,1136605100,1.36E+11,10000000
3545,대신증권우,14050,4.46,255697,3549616300,3.653E+11,26000000
9190,대양금속,4055,3.05,672843,2717674370,1.1989E+11,29565939
14160,대영포장,2950,-3.28,6855110,20445176410,3.19764E+11,108394549
47040,대우건설,6610,0.76,2864245,18739298320,2.74727E+12,415622638
9320,대우부품,2590,-0.38,214933,556787390,1.23404E+11,47646375
42660,대우조선해양,28300,0.89,558473,15927320000,3.03633E+12,107290669
3090,대웅,32700,-0.91,148459,4899716600,1.90124E+12,58141980
69620,대웅제약,133500,0.75,50276,6688051000,1.54681E+12,11586575
430,대원강업,4475,2.05,940318,4171858470,2.7745E+11,62000000
6340,대원전선,1485,-2.94,1298009,1953197280,1.0546E+11,71016967
6345,대원전선우,2575,1.58,25625,64344665,6749590000,2621200
3220,대원제약,16050,0.31,37696,605892900,3.40658E+11,21224823
24890,대원화성,2670,-3.61,2602587,6940912740,1.10135E+11,41249152
2880,대유에이텍,1085,0,748138,807244700,1.1654E+11,107410543
300,대유플러스,798,-0.5,506651,403961951,94926191346,118955127
12800,대창,1820,-0.55,1192451,2174020280,1.65876E+11,91140499
15230,대창단조,8300,4.67,233844,1894352140,1.18575E+11,14286115
1070,대한방직,40950,-0.85,3425,140814900,2.17035E+11,5300000
6650,대한유화,325500,0.46,34418,11246786000,2.11575E+12,6500000
1440,대한전선,1160,7.41,36036769,39730511955,9.93509E+11,856473009
84010,대한제강,16700,3.09,305705,5022068350,4.116E+11,24646734
1790,대한제당,30650,10.25,433021,13168539600,2.7492E+11,8969658
1795,대한제당우,25200,7.92,249751,6438106050,16336555200,648276
1130,대한제분,147500,2.79,13939,2048320500,2.49275E+11,1690000
3490,대한항공,27200,-0.55,1587846,43330938450,9.46073E+12,347820825
3495,대한항공우,40050,-0.37,7769,312008600,44487299700,1110794
5880,대한해운,3425,-0.29,4179224,14438660970,8.36628E+11,244271090
3830,대한화섬,133500,-1.11,1186,157055500,1.77288E+11,1328000
16090,대현,2250,4.17,490227,1087789775,99635197500,44282310
69460,대호에이엘,2405,-1.23,137342,330483115,65259287795,27134839
192080,더블유게임즈,68500,1.18,321446,22236887400,1.25865E+12,18374502
12510,더존비즈온,98200,0,89491,8821354400,2.97354E+12,30280485
4830,덕성,25500,2.2,8216579,2.06332E+11,3.9984E+11,15680000
4835,덕성우,21300,-5.96,391264,8415021800,29649600000,1392000
24900,덕양산업,2785,0.72,397687,1108792000,90693469300,32564980
145720,덴티움,64100,0.16,53771,3481207700,7.09512E+11,11068830
2150,도화엔지니어링,8640,0.58,155779,1340922330,2.91341E+11,33720000
1230,동국제강,13650,0,1846879,25336040400,1.30266E+12,95432737
23450,동남합성,52700,-1.86,3815,203051200,1.90247E+11,3610000
4140,동방,6720,1.82,6519655,44953678840,2.6861E+11,39971766
7590,동방아그로,6940,-2.12,51668,361026050,94505984380,13617577
5960,동부건설,13450,1.13,115837,1548916750,3.05401E+11,22706407
5965,동부건설우,23750,3.04,2230,52954550,5361135000,225732
26960,동서,31950,0.31,133507,4278872150,3.18542E+12,99700000
2210,동성제약,11850,-0.84,99141,1177543400,3.09296E+11,26100970
102260,동성코퍼레이션,5780,3.58,379884,2173003730,2.5428E+11,43993012
