,종목코드,PER,PBR,EPS,BPS,DIV,DPS
204,003580,0.0,2.86,0,2692,0.0,0
205,251270,68.51,2.48,1883,51919,0.0,0
206,090350,11.92,0.7,923,15754,2.5,275
207,090355,0.0,0.0,0,0,2.21,280
208,000320,29.27,0.47,439,27108,3.11,400
209,000325,0.0,0.0,0,0,2.48,405
210,006280,0.0,4.02,0,89738,0.28,1000
211,005250,590.68,2.12,59,16407,0.93,325
212,005257,0.0,0.0,0,0,0.37,325
213,004370,23.09,0.89,12277,316955,1.41,4000
214,072710,9.62,0.38,7887,198514,2.64,2000
215,058730,40.96,0.64,125,8008,0.0,0
216,023590,6.32,0.91,4283,29783,1.48,400
217,019680,22.61,0.73,190,5848,3.96,170
218,019685,0.0,0.0,0,0,6.84,180
219,006370,0.0,0.4,0,25376,0.98,100
220,008060,7.06,0.54,976,12786,4.35,300
221,00806K,0.0,0.0,0,0,3.91,305
222,353200,0.0,0.0,0,0,0.0,0
223,35320K,0.0,0.0,0,0,0.0,0
224,000490,67.0,1.11,150,9019,0.6,60
225,008110,11.5,0.44,512,13257,8.49,500
226,005750,49.24,0.68,132,9607,2.0,130
227,001880,5.57,1.16,6265,30161,1.15,400
228,006570,0.0,0.68,0,6005,3.44,140
229,001680,8.45,0.9,2976,27896,2.39,600
230,001685,0.0,0.0,0,0,3.56,610
231,084690,5.55,0.69,1946,15703,1.85,200
232,084695,0.0,0.0,0,0,2.5,210
233,128820,0.0,0.48,0,9118,0.0,0
234,117580,11.37,0.48,474,11145,4.64,250
235,016710,34.71,1.12,837,26020,0.86,250
236,003540,12.4,0.71,1310,22870,6.15,1000
237,003547,0.0,0.0,0,0,7.72,1050
238,003545,0.0,0.0,0,0,7.47,1050
239,009190,17.63,2.13,230,1907,0.0,0
240,014160,29.5,2.12,100,1389,0.0,0
241,047040,13.01,1.12,508,5916,0.0,0
242,009320,0.0,3.34,0,775,0.0,0
243,042660,0.0,0.81,0,35025,0.0,0
244,003090,22.61,3.03,1446,10795,0.31,100
245,069620,62.62,2.98,2132,44820,0.45,600
246,000430,17.34,0.58,258,7743,2.57,115
247,006340,0.0,1.31,0,1136,0.0,0
248,006345,0.0,0.0,0,0,0.0,0
249,003220,12.29,1.66,1306,9660,1.62,260
250,024890,25.67,1.39,104,1925,0.37,10
251,002880,11.54,1.07,94,1013,0.0,0
252,000300,5.25,0.84,152,953,0.0,0
253,012800,27.58,0.9,66,2023,0.55,10
254,015230,7.99,0.65,1039,12724,2.65,220
255,001070,0.0,1.71,0,23893,0.0,0
256,006650,18.9,1.19,17218,273632,0.77,2500
257,001440,0.0,3.36,0,345,0.0,0
258,084010,12.46,0.89,1340,18665,1.2,200
259,001790,17.85,0.64,1717,48261,2.2,675
260,001795,0.0,0.0,0,0,2.78,700
261,001130,14.47,0.33,10196,449614,1.36,2000
262,003490,0.0,1.52,0,17950,0.0,0
263,003495,0.0,0.0,0,0,0.0,0
264,005880,9.16,1.01,374,3394,0.0,0
265,003830,6.66,0.33,20048,401661,0.31,410
266,016090,5.98,0.5,376,4498,4.44,100
267,069460,0.0,2.47,0,972,0.0,0
268,192080,10.47,1.93,6541,35440,0.51,350
269,012510,58.31,8.59,1684,11427,0.48,470
270,004830,2550.0,6.91,10,3690,0.08,20
271,004835,0.0,0.0,0,0,0.12,25
272,024900,0.0,1.94,0,1439,0.0,0
273,145720,37.4,3.43,1714,18695,0.0,0
274,002150,16.65,1.15,519,7490,2.89,250
275,001230,0.0,0.7,0,19382,0.0,0
276,023450,10.7,2.56,4926,20576,0.38,200
277,004140,0.0,2.49,0,2695,0.0,0
278,007590,12.5,0.69,555,10032,3.6,250
279,005960,4.78,0.71,2814,19059,5.2,700
280,005965,0.0,0.0,0,0,3.16,750
281,026960,23.02,2.38,1388,13419,2.19,700
282,002210,0.0,4.41,0,2689,0.0,0
283,102260,45.16,0.93,128,6198,3.46,200
284,005190,7.11,0.81,2517,21972,3.35,600
285,000640,33.54,0.89,3220,121392,0.93,1000
286,170900,9.96,1.09,8404,76488,1.19,1000
287,028100,10.94,1.09,1686,16860,1.08,200
288,282690,6.36,0.44,1799,25988,4.37,500
289,001520,0.0,0.4,0,3428,2.89,40
290,001527,0.0,0.0,0,0,1.26,150
291,001529,0.0,0.0,0,0,0.62,150
292,084670,1.97,0.52,12104,45514,19.71,4700
293,002900,27.7,1.92,61,882,0.0,0
294,082640,5.72,0.26,739,16121,5.44,230
295,001525,0.0,0.0,0,0,1.39,90
296,008970,84.67,1.89,15,671,0.0,0
297,092780,7.46,0.7,753,8059,2.14,120
298,049770,11.31,1.09,17015,176519,1.56,3000
299,018500,3.4,0.87,350,1363,0.0,0
300,006040,20.34,0.91,12635,282744,0.78,2000
301,030720,6.76,0.81,1304,10939,0.0,0
302,014820,32.63,2.76,1485,17529,1.03,500
303,014825,0.0,0.0,0,0,1.65,550
304,163560,15.39,0.66,597,13940,1.09,100
305,004890,45.71,0.54,1726,145886,0.95,750
306,002690,45.07,0.38,74,8703,0.3,10
307,000020,41.79,1.32,341,10772,0.84,120
308,000150,2.28,0.68,21900,72969,10.41,5200
309,000157,0.0,0.0,0,0,8.83,5200
310,241560,15.5,1.06,2716,39692,2.85,1200
311,000155,0.0,0.0,0,0,13.26,5250
312,042670,9.84,1.06,1153,10677,0.0,0
313,034020,0.0,1.12,0,11643,0.0,0
314,336260,316.67,22.53,162,2277,0.0,0
315,33626K,0.0,0.0,0,0,0.0,0
316,33626L,0.0,0.0,0,0,0.0,0
317,016740,13.69,0.98,374,5223,1.56,80
318,192650,22.69,2.65,417,3575,1.69,160
319,024090,7.38,1.18,2385,14933,2.84,500
320,003160,303.04,1.64,23,4256,0.72,50
321,092200,0.0,0.8,0,3969,0.0,0
322,013570,8.84,0.42,646,13449,2.63,150
323,210540,10.9,1.25,1729,15129,1.06,200
324,007340,4.13,0.52,7539,60240,4.82,1500
325,026890,44.25,3.43,287,3705,0.63,80
326,115390,48.84,1.17,302,12620,0.0,0
327,032350,0.0,4.3,0,4348,0.0,0
328,000400,0.0,0.59,0,3112,0.0,0
329,023530,0.0,0.33,0,376333,3.02,3800
330,004000,8.88,1.01,6611,57873,2.9,1700
331,286940,10.24,1.5,3720,25357,1.84,700
332,280360,22.41,0.71,5936,188501,0.98,1300
333,004990,0.0,0.54,0,63267,3.24,1100
334,00499K,0.0,0.0,0,0,1.95,1150
335,005300,0.0,0.99,0,138233,1.98,2700
336,005305,0.0,0.0,0,0,4.17,2705
337,011170,14.43,0.78,20860,385244,2.23,6700
338,002270,9.18,0.61,41242,625100,3.17,12000
339,071840,0.0,0.51,0,81410,2.39,1000
